,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Covn-LSTM Train MINMAX RMSE,Covn-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
0,"[0.02224889901398121, 0.02782794345861533, 0.03219909586019264, 0.03677678511601842, 0.03964846712098181]","[0.025213488134801895, 0.03146476747380807, 0.036620151877648215, 0.04193573867916868, 0.04525180470428201]","[0.022532669682127294, 0.026328478365736444, 0.02926990791589602, 0.03185276197238678, 0.034157005861556344]","[0.0242227257296074, 0.029000590765538074, 0.03332955271588917, 0.03733036472028884, 0.0410744916440712]","[0.0216568619810852, 0.026765365876913284, 0.03284252704233026, 0.03591363984385817, 0.035914592283348895]","[0.022861706604156526, 0.02884820230057041, 0.035691049129705395, 0.04010909640381346, 0.041673627743508454]","[0.024893849218784538, 0.029022717767355988, 0.03179158345991306, 0.03315404622832313, 0.036843542148579024]","[0.028739655238192673, 0.03592934101636556, 0.03900090197020025, 0.04269053017551972, 0.046543206703618424]","[0.013058696365017068, 0.02008573779960933, 0.025791011152141212, 0.02861751903600898, 0.03200611770389853]","[0.018349019217096467, 0.023566457775601807, 0.030157897035554167, 0.034315249698296274, 0.038763923915224284]","[0.05992623230827738, 0.05890949298615157, 0.06152169962993674, 0.06586916717939624, 0.0712090457083833]","[0.0775599184591483, 0.07658308241349679, 0.07865122447625686, 0.08291937030259355, 0.08956458297209315]"
1,"[0.016345264171675405, 0.023463032453119502, 0.02749627909852052, 0.03346836936934875, 0.03620583987219352]","[0.02067845425159994, 0.027913112432415677, 0.03257935251076689, 0.03865262171152634, 0.04310155943831304]","[0.018539850173419584, 0.024795067488708546, 0.027223779313255127, 0.029969792504929618, 0.032285717464014915]","[0.020694771360944355, 0.027227569307273086, 0.031227429728040386, 0.035405548842319515, 0.03936007974377632]","[0.016413293785088323, 0.022472718486022263, 0.028000151903812262, 0.03107913011170501, 0.03337007808214621]","[0.01893171766520257, 0.025337640549916565, 0.03170582683679972, 0.03620943310251615, 0.039934378087049915]","[0.023784375376405993, 0.029237413664146505, 0.029877845145966305, 0.03294584735537539, 0.03648476448658476]","[0.03149582084214287, 0.037786585408735356, 0.040186290503321495, 0.04482842249262221, 0.047438747191207435]","[0.013425690836241008, 0.018838310458485497, 0.024579338901455725, 0.03060493692771499, 0.03300126348295819]","[0.018696907733857085, 0.02346810253055528, 0.030545348268759636, 0.037604099499604055, 0.0420645229611114]","[0.02121095388416867, 0.02737047082382492, 0.03248767174048299, 0.032615319229253516, 0.032730932999981685]","[0.042529201260816066, 0.047754752316562586, 0.05322575396844882, 0.054731322516565, 0.054637534690478606]"
2,"[0.01547085744253523, 0.0239399164973947, 0.027859008306319922, 0.03386295456038109, 0.03597562291546638]","[0.020890703325839765, 0.030077033503850204, 0.034204595891199785, 0.04101420261112573, 0.044247825832516]","[0.015408762842994705, 0.02329946577368398, 0.026095411822110122, 0.02885824109056097, 0.031150329904400125]","[0.019591924075818976, 0.027156738620625797, 0.031179706748241116, 0.03519094548121314, 0.03911836945812542]","[0.01436958449122362, 0.020630008770649865, 0.026286848621180352, 0.029881496946504667, 0.03193586075292781]","[0.01840988117169715, 0.024624945099712716, 0.030836227189433494, 0.03535969906989615, 0.03954908289120961]","[0.02510267142673873, 0.028999428667827717, 0.030288341090728053, 0.033904151577068706, 0.036680284284830965]","[0.03312806137042444, 0.0385840868951065, 0.04163881561735062, 0.04583886174734995, 0.04869423084673187]","[0.01832476893621026, 0.022819055152308393, 0.026667045095445395, 0.02853415985136666, 0.031251561176051885]","[0.02400977793645725, 0.028150440935768538, 0.03285179939060881, 0.03584228307257859, 0.039523564636155424]","[0.02575201488393702, 0.031565750742853324, 0.03604035130964286, 0.03690888462371511, 0.039540173485960006]","[0.04039283839836038, 0.046976349916997326, 0.053012313461512264, 0.05660569768908523, 0.0636576414900108]"
3,"[0.016027946572039528, 0.02520112044887967, 0.029083712865018103, 0.034423826720142395, 0.03569190054682256]","[0.022046282680510936, 0.03223288998304232, 0.0362690996801158, 0.04238072102480549, 0.04439348063230438]","[0.015205215817166827, 0.02234532944608756, 0.026149677047340017, 0.028722337567718935, 0.031015168637713954]","[0.019875935847730175, 0.026675629133383585, 0.03141510585579476, 0.03517939231567246, 0.03908983008380207]","[0.013367570085083508, 0.019796668231733063, 0.025226610082154825, 0.02904754292312055, 0.031117652479828107]","[0.017819226730241878, 0.024155638853086338, 0.030438549474685415, 0.03512656328305051, 0.039003092663119805]","[0.028205458079174902, 0.0330701236319136, 0.03491825592176724, 0.03912970424328466, 0.041122691018633306]","[0.03733492022022457, 0.04400781465311686, 0.04490460438142332, 0.049189095746676056, 0.0521629981041539]","[0.018200200883601168, 0.022154766217675117, 0.027900086877122032, 0.030440890488562206, 0.03314509486835972]","[0.02603634150818979, 0.02937654065355389, 0.03555527587575374, 0.03938026451809172, 0.042289707879335815]","[0.022241001131603877, 0.02701120830558123, 0.03561085209657412, 0.041996862127398, 0.047237380574597664]","[0.029181281421992163, 0.03686730823379988, 0.04875276199292636, 0.06287145269575227, 0.06710585534122462]"
4,"[0.017740336419778846, 0.0285353224966441, 0.03262432640791604, 0.038484115616472345, 0.03934188421295801]","[0.02464377278437085, 0.03659211154621315, 0.04062489315342829, 0.047027194028968676, 0.04834007555592241]","[0.015048415025703175, 0.021278171942573882, 0.026248076784380913, 0.02862768263430675, 0.03095327071115166]","[0.020218447874203026, 0.026194805007617405, 0.031745480729941794, 0.03528012141525108, 0.039187288310349074]","[0.01311209487715148, 0.01945166371019918, 0.024765188639332112, 0.02878680003652483, 0.03073812813155366]","[0.017713452821119257, 0.02389750753409324, 0.030084665251857934, 0.03516207610055094, 0.03874927266090943]","[0.032189496677717644, 0.03847437996252861, 0.039651494427060265, 0.044714248578526364, 0.0471539697758893]","[0.04213105569659918, 0.04928329388913959, 0.04997466243376368, 0.05584821418017262, 0.05826610352952535]","[0.020450596679450067, 0.023929345925783208, 0.029186338367684795, 0.031587840103204916, 0.03364034576240181]","[0.029219875671084534, 0.031865788952718854, 0.0375101082359709, 0.0401533623184309, 0.04276546419110041]","[0.03387516147981308, 0.03986910899423401, 0.04424345643766172, 0.049216182812910333, 0.059133262000532094]","[0.04406140882780941, 0.0515256525353147, 0.055580606148865036, 0.06448521671355698, 0.07572848988218331]"
5,"[0.01634441377192408, 0.026127085144993276, 0.03067218330480812, 0.03624870912667803, 0.03739793824395081]","[0.02395568174756129, 0.03497149183655451, 0.03966488884660752, 0.045824301142573375, 0.047483385303861564]","[0.015030959102568442, 0.021319645619039842, 0.026792039702718977, 0.029049774056158998, 0.03132645608465234]","[0.020588605834414866, 0.02654347287151655, 0.03240073265147858, 0.035716574164997565, 0.039531255695542264]","[0.013086781119740324, 0.0193874902060023, 0.024658327801730065, 0.028871527361958884, 0.03082274707242244]","[0.017749027037017483, 0.023876929394427347, 0.030025941881375695, 0.0352693555145918, 0.03880238149950619]","[0.03548995449585858, 0.040449282653469656, 0.04067528930246994, 0.0445603457144792, 0.04791211414616367]","[0.04547488909399399, 0.05342912440258066, 0.053906064566223814, 0.060633942120308294, 0.06318015323650884]","[0.024801557114230006, 0.029421347219855034, 0.03534922532669089, 0.04034523381340263, 0.042310822837335844]","[0.03422061565503406, 0.03807922574642378, 0.04419616824750417, 0.049218639440841185, 0.05073684832628656]","[0.021156762038418746, 0.026489197549000087, 0.03871287188164391, 0.03807804923029167, 0.04546038028945789]","[0.03516916737128169, 0.04085599594355098, 0.05409854682052738, 0.06436360643718703, 0.06958570324972115]"
6,"[0.015022056361614503, 0.023994502171929836, 0.02889630970372581, 0.03404878829331972, 0.035560591299602505]","[0.022874850330349694, 0.03317636657708781, 0.03856204081477302, 0.04438480077367573, 0.04669071643906563]","[0.015860927381186996, 0.022104822057540486, 0.027819968148956795, 0.029979878790300736, 0.03218449351773896]","[0.02165381921598572, 0.02759019341068692, 0.033532743227025624, 0.036643822209081925, 0.040306374177867]","[0.013189785022557143, 0.01964385672240353, 0.02490284479601731, 0.029325788165560664, 0.03106496149951469]","[0.017886301460943586, 0.02413205416255434, 0.03026606951583079, 0.03563594539465913, 0.03896737925578019]","[0.027198186630647637, 0.03040869780200418, 0.03308079208685085, 0.036778964760356046, 0.040529417363645404]","[0.03709160658461203, 0.04657810099399273, 0.048706923924588266, 0.05407881877828465, 0.060690596688848915]","[0.017133482614541295, 0.02250487967451554, 0.027449686982251364, 0.032819110414666154, 0.035660501079316946]","[0.025339014125076036, 0.03035097338721063, 0.03567262191862373, 0.04222600558688131, 0.04412814026536651]","[0.020325111353208594, 0.02777928615895855, 0.03546388690313062, 0.03657251466976685, 0.04356489655368959]","[0.03713884421665504, 0.04490196298457477, 0.05377927411254961, 0.056383907004132545, 0.0625154576227398]"
7,"[0.016996211338177483, 0.02812250145932105, 0.03382574549286749, 0.039857000106882534, 0.03989415667522423]","[0.02443223172583924, 0.037215635889685655, 0.04359211063779096, 0.05014116600996258, 0.05277755752180548]","[0.016162518715015752, 0.022642187538842822, 0.028642023697228004, 0.030789571482124165, 0.03292185631267433]","[0.022167442062849364, 0.028414901807365656, 0.03452333537676252, 0.037526256484774034, 0.04105018753515295]","[0.013015653236272415, 0.019488594257729457, 0.02461676418446584, 0.029223338685789076, 0.030987240295170596]","[0.017830689408616967, 0.02407470353932257, 0.030102150301777725, 0.03560364618308498, 0.038921161183748755]","[0.031576238492102005, 0.03565144441375137, 0.039708995403484125, 0.04170557313795546, 0.039316827331000545]","[0.044142068586408914, 0.05324009180427133, 0.05290121335177098, 0.057049297320806776, 0.06618015420426221]","[0.017581961594183668, 0.02233339579969782, 0.029134038618509724, 0.031644958947855996, 0.03368276224410021]","[0.02767504329252962, 0.03139559244063481, 0.04043362960852959, 0.04166558189901247, 0.04491956942731386]","[0.017970305208710104, 0.0247249394869496, 0.033922481501450226, 0.035394280345435424, 0.03797648846427698]","[0.02696236747100075, 0.0347100656919029, 0.04320865645216832, 0.052410145148844386, 0.055807348058215175]"
8,"[0.016086449762571196, 0.026845593051767206, 0.032642766167053194, 0.03869925097521331, 0.03639284717786175]","[0.023671119357675307, 0.03657720824181572, 0.04348691260152434, 0.050283293722216724, 0.0529808253418756]","[0.015101775793120775, 0.022117550184704567, 0.028364672541777342, 0.030616809939711394, 0.03272676557398121]","[0.021132001491975767, 0.02799521774003451, 0.03438188799268945, 0.03744889830674256, 0.040969463551360844]","[0.013154033000244272, 0.01955429313686481, 0.024556757944443154, 0.029335424998398005, 0.031137375710087914]","[0.017999124187886517, 0.024219502872673312, 0.03015100727741094, 0.03576115808699585, 0.03903505401600275]","[0.028536809438907764, 0.032307945860409394, 0.03403030829940779, 0.034495834806215556, 0.03736474842189489]","[0.04271982604312837, 0.050904959863221855, 0.05089372444653223, 0.0581533199497247, 0.060440173724351585]","[0.01749535692766829, 0.022704103385957266, 0.027852039162977002, 0.030587162683451, 0.0343770144933424]","[0.026360529028362303, 0.031621376529859684, 0.03827473190669543, 0.04056610058794735, 0.04580731980404706]","[0.012349613946146894, 0.02278563976685695, 0.03198567673428707, 0.03482929643929389, 0.03910019878313726]","[0.024152802448058747, 0.036732006979031895, 0.04426828989585177, 0.05145679370386507, 0.05649696629588353]"
9,"[0.015221171589826579, 0.026405742015502904, 0.033185577100272354, 0.03981271003736945, 0.036025923190267345]","[0.02223453849493846, 0.03610454632161802, 0.04469325808720023, 0.0524545278421435, 0.054415464654794875]","[0.01550650305272724, 0.022286371736514758, 0.02851509261612886, 0.0308421091392226, 0.03292442426103829]","[0.02167775668939705, 0.028504891956597857, 0.034972179766560495, 0.03805425013182253, 0.04150971202836681]","[0.013157194841951846, 0.019535683170667523, 0.024562961934645994, 0.029382887772051787, 0.031232327819480793]","[0.018066268453424947, 0.02425142693799766, 0.030203532666761984, 0.035827843504737694, 0.03910944861102896]","[0.03360760408191875, 0.040301214134217264, 0.04055531355558394, 0.03451728554775939, 0.03270175413255425]","[0.04495004237581868, 0.0520874403791767, 0.051192724400292725, 0.056684592308488276, 0.06458420641793744]","[0.01466456683971301, 0.023134956890466376, 0.032964730590802314, 0.036179210456795126, 0.03857847794982201]","[0.022320104040026052, 0.033287109437264636, 0.0461597608871547, 0.04919150559067229, 0.05432070550284651]","[0.025086895056891677, 0.028801176971815834, 0.03180909300705519, 0.03473625887474402, 0.04001286625345015]","[0.03654498198771735, 0.04057029923535204, 0.04512466202970084, 0.050037014480848616, 0.05404063012256836]"
10,"[0.014934248884406654, 0.02699573009986135, 0.03462044517938933, 0.042158812989481625, 0.03799506767453292]","[0.02075044022846325, 0.03596412705891965, 0.04651310251661834, 0.05636037980521049, 0.05900674430959153]","[0.01414723618042989, 0.02138498167654946, 0.027289564190881414, 0.029812347675649827, 0.031959586561091075]","[0.020791177486058226, 0.028604494411867114, 0.03464505604288686, 0.037862161772738406, 0.041393194145175435]","[0.01336202620157035, 0.01980906458956949, 0.024867583037625225, 0.029811125824350772, 0.031625850153101334]","[0.018269939987614763, 0.024524612255891243, 0.030505579289202164, 0.03622262514744006, 0.039415195323611825]","[0.02761747482529184, 0.033838200981230096, 0.03631801604547284, 0.03535176608517109, 0.033938887626654535]","[0.03706203533549963, 0.045251351754620917, 0.04679428667140483, 0.05178615038232541, 0.06030280787291614]","[0.012190993061554124, 0.019367200383593488, 0.02792308138300867, 0.030383831806060153, 0.030399684048239613]","[0.02024908231771198, 0.02759149758547685, 0.03877388685440452, 0.04706013691026239, 0.04806401281756596]","[0.013775124746315303, 0.01783339941659511, 0.021047652644169114, 0.025234523944198648, 0.028325351212408686]","[0.029481940822094023, 0.03283316265298343, 0.03712220673191064, 0.041662397786769806, 0.04619993460607411]"
11,"[0.014474625630886938, 0.02659671158894262, 0.03412987665579042, 0.041295542382440056, 0.036221623866840254]","[0.020525906775531528, 0.0361589475596885, 0.048385988338354766, 0.05871734526476768, 0.05906307841832183]","[0.014708245110939542, 0.02259404032398039, 0.028268949171805908, 0.030787421913309135, 0.032851516501180233]","[0.021382882188317142, 0.03025313028065002, 0.03598716025907007, 0.03908520977544337, 0.04245804812294566]","[0.01325465194898198, 0.019671049925104944, 0.024737714057363126, 0.029653806321115007, 0.031626783778102664]","[0.018235388374455583, 0.024460175550653187, 0.030450904791807107, 0.036146305036447106, 0.03945015535648035]","[0.027660124042276343, 0.03387230216995162, 0.036507696546676016, 0.03323144728909511, 0.03251042464492486]","[0.03791851368883342, 0.04505901730228319, 0.04677409488413027, 0.053525013459536336, 0.06212842814669818]","[0.012783646742479527, 0.01927424564511071, 0.029643785678461425, 0.03260395924978869, 0.03384805303400157]","[0.02401570723032568, 0.026633664790826964, 0.03764909130666688, 0.055641667590714976, 0.061650826396715964]","[0.016310106647004892, 0.02300382558891919, 0.03063472716579533, 0.035597213710428316, 0.03642851528626888]","[0.030796342178080673, 0.038584870484099164, 0.04265473352174076, 0.0474694591979776, 0.055036891358498805]"
12,"[0.013070880317202226, 0.025079485957200488, 0.03309876741942567, 0.03948464482691213, 0.03479690600885907]","[0.018905368208076447, 0.0349814720071363, 0.047412605567667555, 0.05898647797665899, 0.057188970537949815]","[0.015196841431485452, 0.023552536533331076, 0.02910122144286984, 0.03161974123643616, 0.033621314518787214]","[0.021913419808411102, 0.03149365286396723, 0.03706909119146508, 0.04009831079149787, 0.043348062017196716]","[0.013334371109769707, 0.01993799996745263, 0.0250313442069083, 0.02992938142429947, 0.03182916795997901]","[0.01833745709559912, 0.024724585034488218, 0.03073891606436929, 0.03642442548894702, 0.039632335486207045]","[0.025305479108022725, 0.0318259762994495, 0.034393595733054415, 0.029541288582607732, 0.02939954852491886]","[0.03581113634156461, 0.04369125810355726, 0.045215547054330764, 0.05276000221726741, 0.060147018115017686]","[0.01080756439044239, 0.018257550034301264, 0.028292993108282063, 0.029637675114114307, 0.030071847535004914]","[0.020466292453336875, 0.026443079175156745, 0.038204595366026946, 0.046272037416918765, 0.04838023212819846]","[0.01256047908908606, 0.019702146771808926, 0.023704780136678563, 0.02919215888043692, 0.031461269804755394]","[0.02886896320289324, 0.035226514137417904, 0.04046816848474391, 0.04627128997298583, 0.051653537690267974]"
13,"[0.012677344001683983, 0.024733519542190094, 0.03216458053071574, 0.03743563022969964, 0.03317869432012311]","[0.018799296996870843, 0.035533197588727264, 0.04820149612444113, 0.05917526041978364, 0.05556269391386636]","[0.015791429481335672, 0.024387890499819907, 0.030031170717710026, 0.03250924444845692, 0.03445692178936823]","[0.02269275091669934, 0.032465303164534255, 0.03812081007755985, 0.04105696422069955, 0.044194731227727956]","[0.01323182498280134, 0.019997790478487206, 0.02516929275363964, 0.030176123336342328, 0.03217467274277069]","[0.018298391782878797, 0.02481796440451387, 0.030892084830517492, 0.036677651861367566, 0.039939143937619555]","[0.03127352556036732, 0.038390645340452056, 0.04023743322867811, 0.03388321806367277, 0.033179144795965905]","[0.0434743963265041, 0.05187961533147559, 0.052320322683761834, 0.0588775308236879, 0.06552544929902153]","[0.012615215060120831, 0.02171116629428222, 0.029331681070567647, 0.031856610555533245, 0.032367496159847395]","[0.02156666726763852, 0.031236180741189966, 0.043089008525712215, 0.044826928307408274, 0.04456510700232709]","[0.01912075822268867, 0.028574155149113517, 0.04029613635628397, 0.04239534953756112, 0.04032620682596788]","[0.03795772440621623, 0.05008274367882224, 0.05776431794160168, 0.06149045770357836, 0.06864426585782854]"
