,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Covn-LSTM Train MINMAX RMSE,Covn-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
14,"[0.012003714588611526, 0.02285768909051727, 0.03195433910134526, 0.03571752545355364, 0.03241508798794126]","[0.018296633048503635, 0.034494930209906315, 0.04700940089359679, 0.057787906855129724, 0.0553879919819803]","[0.01699511250527751, 0.025820683170947316, 0.031676592249387195, 0.03404652039306702, 0.03590747267478333]","[0.024377187748839513, 0.034249259247343525, 0.04009641895273268, 0.04285008011519751, 0.04579025627610196]","[0.013244655496627943, 0.020187761055912332, 0.02542086267657516, 0.030510560622718536, 0.032510819925897834]","[0.018349220304798138, 0.02501314278311601, 0.031133759247864018, 0.03699782947832454, 0.04024509649768142]","[0.034317881066784905, 0.03992046600598791, 0.04124121282590077, 0.03583620393815791, 0.03310761535338836]","[0.045582573994818285, 0.05240158211395641, 0.05227827143559209, 0.05815327068390277, 0.06873394223787976]","[0.012499962873091615, 0.021260995034693468, 0.026002201542516246, 0.028976144552696776, 0.03020444527036393]","[0.02116495515381352, 0.03012443468872488, 0.03687538990149584, 0.04075800729179256, 0.0439981429683817]","[0.015550074165151796, 0.022904365839364792, 0.025506408958562366, 0.03144096495302558, 0.03521490443438233]","[0.02597982078859198, 0.033147444746181066, 0.03847788374012121, 0.0438752232556327, 0.04820349752648603]"
15,"[0.012633055495509126, 0.023260847957438935, 0.03288153200679982, 0.03804221620830033, 0.03570679421120788]","[0.018835446297561804, 0.034559328526542865, 0.045147968801639765, 0.05484785749178171, 0.05235768673459711]","[0.019202493950674714, 0.028678339452973014, 0.03471061625660377, 0.03690166078253313, 0.03862058671354594]","[0.027494493008276697, 0.038107403586081626, 0.043983980545622595, 0.04638184760554578, 0.04897542631242738]","[0.013165323066446301, 0.020179950737102235, 0.025533744985618553, 0.03078509779071287, 0.032877598973281325]","[0.018326325915378187, 0.02508576780342711, 0.03131935964802173, 0.037330932118233094, 0.04061505708338]","[0.02958076745902466, 0.035017260694650505, 0.03813393833671077, 0.03171601459927553, 0.030105812357578667]","[0.04065507046859692, 0.04714801053175584, 0.048969328186281774, 0.05660231721563957, 0.06643420997566728]","[0.014772879643638296, 0.01891989717834686, 0.02334435812157654, 0.026389639273377292, 0.030594561119456534]","[0.024023089985820697, 0.030815726763710364, 0.03831292051765859, 0.04147956871603463, 0.046175605302196714]","[0.05208843297480553, 0.05532888277351461, 0.05866656291189943, 0.060279480568944104, 0.06246361674204151]","[0.05626129271552253, 0.06046725087067645, 0.06410124288273009, 0.06638918227788948, 0.0673222772634577]"
16,"[0.011859596917915313, 0.02186323161298663, 0.031924477528879135, 0.03499369263827008, 0.03375318582711551]","[0.019206085913915386, 0.03390181981787861, 0.04612386820520447, 0.055569152001119115, 0.05437125138036512]","[0.016760901727593196, 0.02598120135546832, 0.0318495025037033, 0.03424256462358324, 0.036123740721845474]","[0.026099723602866384, 0.036956528723175036, 0.042698078002082335, 0.04526775884559125, 0.04802187138269995]","[0.013137226675456621, 0.02026890051361773, 0.025553775711811527, 0.03067628576133816, 0.032801777835248916]","[0.018334344724513365, 0.02521427260254875, 0.0314069680834591, 0.03731749560491177, 0.040640191459636765]","[0.031227876610633414, 0.03708293254865564, 0.040789151750068815, 0.03453935661576083, 0.03219847874580081]","[0.04306725832165876, 0.048841078509342044, 0.052513030874747395, 0.06193996808634857, 0.07159121519200563]","[0.01222671136104606, 0.016491729197402577, 0.01999378607805474, 0.02212745465415121, 0.02497953909052276]","[0.023591007789788485, 0.02998467433998927, 0.036704948984948714, 0.03918588777409699, 0.043283372914004234]","[0.029155869466175453, 0.03581972379631809, 0.03609978680978175, 0.03857116959185728, 0.04076038984028061]","[0.04215096309180436, 0.04644930420761266, 0.04855253656956431, 0.051492887933857805, 0.05517333085401366]"
17,"[0.011512340195186049, 0.019765651939878188, 0.02996992665481322, 0.0350488035948913, 0.03474117534920056]","[0.01889278797656835, 0.03180945262518838, 0.04476859798569761, 0.05343202559075922, 0.053505852081684686]","[0.01953901430021352, 0.02933324815018522, 0.03518978521628168, 0.03738578827167262, 0.03909224801564709]","[0.029480760419362432, 0.04067869181323438, 0.04635188780758782, 0.04859603456349605, 0.0510129343263812]","[0.01326162516157378, 0.02049107038447195, 0.025917713370708657, 0.03113772507662708, 0.03323578461215776]","[0.018472464994042606, 0.025490122665792845, 0.031824792136074996, 0.037813364103152884, 0.04109454242820126]","[0.02474005267390229, 0.030001481295498515, 0.03269003825401232, 0.0282568425354486, 0.029369380655618234]","[0.034884889067026616, 0.042743963700759675, 0.04443168537863051, 0.049781282176234384, 0.05829330192486487]","[0.010999827643077888, 0.015229223063580108, 0.019053770374282596, 0.023271483348650077, 0.024899948972324393]","[0.023454081262729895, 0.030942811653378255, 0.039987907785113276, 0.04237093895196734, 0.04701279020685252]","[0.030025154724421927, 0.038706320926852486, 0.04849531956048775, 0.0564213120343918, 0.059949714391435524]","[0.04615834693203928, 0.05435585617722124, 0.0654331877151477, 0.07343075731831224, 0.07944370783121922]"
18,"[0.011499995420625946, 0.01790492584793923, 0.027343411592755766, 0.03268832037957666, 0.03185575304904662]","[0.01967077370226237, 0.029918546813022674, 0.042407027597988166, 0.051821557867967355, 0.05328463645660805]","[0.017324337771294534, 0.02783896251851931, 0.033649078727955466, 0.03590089100485168, 0.037668270932077474]","[0.027319537432637576, 0.039724014232272425, 0.04533574824746876, 0.04768782590467238, 0.050193050682261715]","[0.013296076560764447, 0.020736465673244234, 0.026212778718177444, 0.031430434233763314, 0.03348526079307706]","[0.0185651156497418, 0.02581749229697885, 0.03222036761455536, 0.03819843065463606, 0.04144724770987286]","[0.027103843643149054, 0.03382678317875123, 0.036580054896627835, 0.03168663585822084, 0.029717714394334876]","[0.03697687802365231, 0.04450979164806237, 0.048088414095518124, 0.05422110857502983, 0.06475907953012179]","[0.011855714644055746, 0.015732973620889792, 0.01790290475398513, 0.02196784834380786, 0.026759876729403758]","[0.024683139475611487, 0.03305608943670526, 0.04234391928265669, 0.04489842121979926, 0.04775584111341482]","[0.03385989565858666, 0.04288196508582406, 0.050098434414342974, 0.0541432703237302, 0.054337176727033316]","[0.04733667428590187, 0.05445105455400919, 0.06528735053149279, 0.07178133718787978, 0.07897339519005017]"
19,"[0.01542965629988073, 0.016650564832412684, 0.021487058705686422, 0.03077236566210994, 0.03313453103737459]","[0.020251987611752, 0.02583886972572082, 0.03611574889033697, 0.04558725113293461, 0.050059487390555664]","[0.019563272498588014, 0.03189410284153206, 0.03767638907162816, 0.0397585894183239, 0.04132435473413673]","[0.030597371511332627, 0.044524955359030324, 0.050075511551834595, 0.05206177819163076, 0.05417764991949829]","[0.012740372503959752, 0.01999676011189861, 0.025114257431212643, 0.030342129567767582, 0.03241976918425062]","[0.018179377523787663, 0.025303614825946213, 0.031451104372587024, 0.03746546844940623, 0.04082998993499551]","[0.02574755875393152, 0.02979087923816729, 0.03336989299623465, 0.02937487955765632, 0.02874869292072127]","[0.03632878223347698, 0.04199120418060023, 0.04513755425957094, 0.05296552155499781, 0.06298734848141338]","[0.021483653160145146, 0.03126653603674458, 0.03662083099041929, 0.037817581395920744, 0.052064591755004296]","[0.029894702551655945, 0.03573693342881132, 0.04974005261936717, 0.06308258700599031, 0.07149697969714017]","[0.03368042509855238, 0.0449652131257022, 0.05190592687991239, 0.05422083833869785, 0.06106032794053871]","[0.05344408923810776, 0.06490831442263365, 0.07034230488541399, 0.07558109574095684, 0.07873741344473018]"
20,"[0.012418236491604381, 0.015884655883229407, 0.022406299283912256, 0.03092668567043454, 0.03428682496453882]","[0.018931153576241082, 0.026737912903582274, 0.037292967146648856, 0.04635676296899746, 0.049936530125143534]","[0.017954639952176898, 0.03200722414038732, 0.03749243500565673, 0.03955038814601075, 0.041115073836682524]","[0.029688058765440006, 0.04570191703271275, 0.050955216737016834, 0.0528243619604961, 0.05488098445391546]","[0.012992047707959465, 0.02067222332631896, 0.026190655487841448, 0.03153770753118685, 0.03374927546427715]","[0.018515989251550357, 0.026098892581102894, 0.03261939501512782, 0.038668701804641936, 0.04215540283822618]","[0.023177285943129882, 0.02940624023312611, 0.032485083210639, 0.027242048569235715, 0.027897917131854244]","[0.033330528414614924, 0.03920191661265814, 0.04471099120748693, 0.050925711294259095, 0.062046403121076996]","[0.01446269431111712, 0.0217194099290901, 0.029686602817810038, 0.03441000346068047, 0.03533403318744036]","[0.02012240424701603, 0.030943679405408497, 0.04073355456829584, 0.044531984219532764, 0.04377157142496115]","[0.016002240057512346, 0.020463619384616827, 0.02792100154415664, 0.03556378521263244, 0.03937042868234457]","[0.03049068397397822, 0.03435339706199598, 0.04191696891668657, 0.05060494162063982, 0.054961257184757785]"
21,"[0.01144411555373052, 0.017298966015705547, 0.02742772356755621, 0.03527339996492326, 0.03184989069251622]","[0.021153612996142736, 0.03260610086504688, 0.04277088301810703, 0.05064995400114271, 0.05445054619245248]","[0.01778388026123014, 0.03204306006827182, 0.03748141029416661, 0.03950902583960551, 0.04105978572413835]","[0.030220182072518302, 0.04625243591368626, 0.05157967729755568, 0.05332212472498723, 0.05532278303362052]","[0.013265950111421437, 0.021332186304312925, 0.026787658616694944, 0.0322111793979633, 0.034490998773291336]","[0.018980218517592823, 0.02704644067311554, 0.033538199979590386, 0.03955828946649731, 0.04315242785149904]","[0.02681654123579929, 0.030503372935864418, 0.033705836961355685, 0.02913922320043658, 0.028485947945963416]","[0.03719051614716926, 0.04230756375999382, 0.04458274777030874, 0.05082168026644087, 0.06190228373456682]","[0.013463683480904378, 0.019447350324759995, 0.024215282163707056, 0.028953901260191962, 0.029401804278160897]","[0.023618088121921187, 0.031041858717584362, 0.03723250225536864, 0.04545938391355492, 0.048426023422247076]","[0.011655678463977182, 0.020250664989669813, 0.02851986818412065, 0.0393090235163643, 0.03990128911090496]","[0.026488474131818002, 0.03629699076615877, 0.04505705211401249, 0.06635321379941905, 0.0715467645026592]"
22,"[0.027183529370150276, 0.044304893624543894, 0.039605224251858, 0.02871918701399317, 0.027134697426695897]","[0.035385038571470406, 0.05945028482866715, 0.06403720272793809, 0.061280240837036024, 0.06475117235782882]","[0.016560995853579643, 0.030851232556358903, 0.03611361796067238, 0.03809990175631265, 0.039689062661658586]","[0.028498397945282465, 0.04503139146090259, 0.05042430128298764, 0.05208451985874745, 0.054159807919337104]","[0.013280575889522984, 0.02153993364100028, 0.026950264031668267, 0.03223930472167019, 0.03477993119092841]","[0.01931681496472127, 0.027747182045904005, 0.034218153811781414, 0.03996443793704006, 0.04390273315057522]","[0.02732923966246257, 0.031095179221294372, 0.03537130783741359, 0.029978365553936372, 0.027989344065735115]","[0.03859179345437039, 0.04405778719506339, 0.047395287151134974, 0.05502138546623345, 0.0647708300720147]","[0.01061180639338513, 0.016650778133702613, 0.018841536935611147, 0.022398177702823107, 0.024862366019793875]","[0.02355022675011861, 0.027539028610304, 0.03273563620092593, 0.038846627232207866, 0.043082564738013106]","[0.014579406404760383, 0.01964882682775266, 0.024803668552632125, 0.030794289511680218, 0.03881886514937011]","[0.028435956768602506, 0.033546915608166764, 0.041384540260368696, 0.047858085172422904, 0.05920738031358573]"
23,"[0.011818002417695999, 0.01709963451514942, 0.026682690774624783, 0.028096967177573363, 0.030645991539603224]","[0.02162982028770867, 0.03163322989827656, 0.03821062967897447, 0.044813310196020216, 0.04707825317572434]","[0.018870798112793137, 0.03478633119888757, 0.040018663929827634, 0.04189923665872745, 0.04333944305830723]","[0.03211034335470857, 0.04975400831997189, 0.05496796624460921, 0.05642785922066305, 0.05817594152829601]","[0.013099653310592154, 0.021385730469190387, 0.02683143907754256, 0.03188336052770985, 0.034566443472945046]","[0.019491622676786648, 0.028109437355190395, 0.03465516396847668, 0.040002847212213276, 0.044276783919753745]","[0.026764510376073698, 0.03262780595501953, 0.038348341475101584, 0.031801571073294795, 0.029936497434990605]","[0.0362999417828134, 0.045418086402436574, 0.04942309654444373, 0.054851013867237626, 0.0659746433475006]","[0.01114990356252898, 0.01784277198002755, 0.020384385197174556, 0.025470477730512944, 0.028038494694512545]","[0.024045354108014488, 0.028478515406001003, 0.03358432398648517, 0.04144595364826269, 0.04813506243159514]","[0.013059491718802028, 0.023459354015729704, 0.03398790459562311, 0.045094107772733254, 0.04454847851059947]","[0.029758540466444612, 0.03910291348884121, 0.04952446114431168, 0.05745434737621353, 0.06667607397063001]"
24,"[0.011602651591107993, 0.018393226672454344, 0.027399496419244225, 0.02562074724821275, 0.027253855476624365]","[0.022320602111877846, 0.03218874471483205, 0.03800199039024316, 0.04234357100370284, 0.046354766244292515]","[0.015014682582900252, 0.028829219332490625, 0.03394585334684265, 0.03603108531045303, 0.0376242043030641]","[0.02755991091512185, 0.043869928519671364, 0.04953189235877241, 0.051373711778827054, 0.05343420980319845]","[0.014230724697787798, 0.023228090140363325, 0.02882042910481918, 0.0336768289526126, 0.036715300469220356]","[0.021316144165494332, 0.030779608947174682, 0.037473415473720455, 0.04216253108803685, 0.047004854079156826]","[0.027243996002025272, 0.03254018787888092, 0.035949963171301134, 0.03149812635747728, 0.028734180196008555]","[0.03609824142502481, 0.041245570631890556, 0.04702021399592689, 0.056127179665738915, 0.06655652539412256]","[0.010720189474763815, 0.01703687990769782, 0.022986272737501454, 0.025305813209300507, 0.027483979544906684]","[0.02280723892860617, 0.028862980630864624, 0.034949253285767604, 0.04072771663717206, 0.04271291329020926]","[0.01362188124353338, 0.022576134663316334, 0.03179433571897687, 0.03853908608651444, 0.03938328065179242]","[0.03361475309931574, 0.041777159569232156, 0.050043392706285564, 0.05590795112214595, 0.062005659269387815]"
25,"[0.011286294503827607, 0.018776992957875008, 0.02256023666585671, 0.025490318036357353, 0.029457325459961946]","[0.02482824056238289, 0.03207167783221758, 0.03734419118958, 0.042886997925054536, 0.04672693982927666]","[0.016288242797922327, 0.031622942984972355, 0.03677858161908382, 0.03862231729464691, 0.04009437124171926]","[0.029774787032173313, 0.0476134281495325, 0.053711688215851434, 0.055189215122682427, 0.05693550411238707]","[0.015075686347814178, 0.024161583481252837, 0.0294748863911001, 0.03410093039096042, 0.03704436146208269]","[0.022901352136778113, 0.03251056291526719, 0.03899567766438564, 0.04303439232597624, 0.04805043771614441]","[0.028071665440021102, 0.03198451854964053, 0.03530227243434195, 0.030230105972019597, 0.029084980869515713]","[0.037417964625371065, 0.044873574492211334, 0.0472617204643606, 0.05204540945043826, 0.062122070036516173]","[0.010715076209412627, 0.016491397413940862, 0.021843538794127388, 0.022165675625591328, 0.022695606708426883]","[0.025175474276759733, 0.030275592738224746, 0.03731668364944724, 0.042762087115328966, 0.04410734375747965]","[0.013053027998893619, 0.02065186349942694, 0.024634532755774156, 0.027904616409334174, 0.032643320238326425]","[0.03131942017489429, 0.04082816651362437, 0.04696964870100144, 0.052043417435962885, 0.05670122275133439]"
26,"[0.014386558023093427, 0.015988472339527285, 0.01887501294308456, 0.02079210068614185, 0.02316250759677962]","[0.020846790850335743, 0.02893547492438815, 0.03895701818009348, 0.0408512886895715, 0.04454085980602781]","[0.015404237464281798, 0.030432087690859925, 0.035642740841052234, 0.03751649288309352, 0.03901262756238915]","[0.028991842143502505, 0.046606624583311884, 0.05331315619258317, 0.054839633857272994, 0.05657956128186084]","[0.014835480910481511, 0.02383057611800758, 0.02935531117799719, 0.0337877881191876, 0.0373757861763791]","[0.023306360849851625, 0.03288912132940961, 0.03972470633316503, 0.0432956344832858, 0.04912056052760429]","[0.028738521411841696, 0.03451253979711347, 0.0379405390985939, 0.02898942647708586, 0.027564547446013787]","[0.03832255012193941, 0.04528377572981394, 0.049012646951632606, 0.05383800731530364, 0.06408301147739597]","[0.011162387675567303, 0.015683465295996943, 0.019393893076774704, 0.021996552225888193, 0.02429192286031152]","[0.024567750271239086, 0.029472178145869717, 0.03627870275056754, 0.04195632001702077, 0.043485215247056265]","[0.010440731056222483, 0.01645343664776487, 0.020260571509540318, 0.02687282173934955, 0.03187692263131435]","[0.026549812267667693, 0.036815791442711035, 0.044481808613464055, 0.049732791052032495, 0.05371990192185423]"
27,"[0.013052427284446628, 0.01731682487872163, 0.02036540311173358, 0.023408567363671064, 0.025016204213010096]","[0.02765082078034267, 0.031526423997886355, 0.036537042691086374, 0.04283892189780828, 0.047559512750018705]","[0.01451999741018232, 0.028751483335353625, 0.03477325786928927, 0.03668492024222468, 0.03815138145358968]","[0.027191812350081473, 0.04366931638284165, 0.05138449780306307, 0.05337326880199848, 0.05528885005065205]","[0.015042049579678583, 0.024169764595310388, 0.02972756087848404, 0.03434222530712803, 0.037873098340701926]","[0.02406419946612081, 0.03380498274426852, 0.04085517853378504, 0.044423070082010824, 0.05040386744394524]","[0.028679042243958414, 0.032454000239669996, 0.03608662466218472, 0.03254070575136465, 0.029139060202803296]","[0.03687179533159013, 0.04275382246520283, 0.04732242275765482, 0.05477828459084842, 0.06503037878711229]","[0.012562449812355457, 0.016612079541277264, 0.019865589252044666, 0.0239529156427109, 0.024972489119037836]","[0.025423694459824203, 0.030505491708772033, 0.037801347575501285, 0.041765343499803195, 0.044055758780846804]","[0.013192820776404794, 0.024402214008797832, 0.025297036855799582, 0.03216686473043937, 0.03982172454673152]","[0.027608838951581383, 0.03396487131107406, 0.039619736314772905, 0.0451413919088102, 0.05200644655999986]"
28,"[0.011839538208604016, 0.014072152183365074, 0.017401562873055863, 0.020040778030241468, 0.021927947850124318]","[0.02394073947634504, 0.029984983681345466, 0.03895034351090757, 0.042792275552502736, 0.04727057565955002]","[0.013573045565686307, 0.02780349990124103, 0.03483804068359246, 0.036599889627926596, 0.03801896504399135]","[0.026233541383829224, 0.04400159238184973, 0.053145538368392094, 0.05555115371791431, 0.05749204395772273]","[0.015140449178663407, 0.02433110057413106, 0.03010057329750443, 0.03488188108174605, 0.03848214750029818]","[0.024547058311539915, 0.03440897366062054, 0.04190347004598305, 0.04558182617171504, 0.05177384562819011]","[0.02338045242797874, 0.026949331255448322, 0.03199533467570009, 0.028263291780833723, 0.027317467492286487]","[0.031431086545660514, 0.03995957582933523, 0.04517589005106356, 0.051373444850112464, 0.06036570415308762]","[0.010661445717668668, 0.0137033769666088, 0.016355385618404373, 0.02097884388549561, 0.02177651858658796]","[0.02765358667088402, 0.031866325787251286, 0.03906929607253271, 0.04362175177011626, 0.04756697516340382]","[0.011365216493655034, 0.01841473114646056, 0.020325892008498842, 0.02549673446212592, 0.030018698229946558]","[0.027099861563215397, 0.03322933222376741, 0.039215326009610585, 0.042592999028849374, 0.045855857584377345]"
29,"[0.010095721405303834, 0.01805720161595215, 0.027270213788108632, 0.02475047179582636, 0.02532512477011694]","[0.028460064738498166, 0.03524025001639176, 0.06192874669305669, 0.06639423370937605, 0.06814132057897727]","[0.014065205208190493, 0.027814614342868357, 0.03508551271031465, 0.03875737656491679, 0.04006296068070991]","[0.024578697610705354, 0.043483574959909725, 0.05010366755907052, 0.055098603742735466, 0.05827541571629398]","[0.015776405499966863, 0.025551930593302824, 0.031990540741812325, 0.03714065358607799, 0.03904013223045356]","[0.02557154763847515, 0.036183463710561574, 0.04431591322427562, 0.048650427013434625, 0.05446379618381945]","[0.0272442704996, 0.03274553711945585, 0.038507012705672056, 0.03246631395437688, 0.028743845401964604]","[0.03687481294113155, 0.04298164057001583, 0.04904966498744032, 0.05655189128585104, 0.06570778941889971]","[0.010921290921838547, 0.013920532134045642, 0.015557114071626823, 0.01880058147106102, 0.0203766734642291]","[0.029243389569548823, 0.03386552294673845, 0.04146923004257874, 0.046108724218676185, 0.0512177464810593]","[0.013944704799430618, 0.014756868599857812, 0.01626617829876491, 0.02132816563092503, 0.02759687866713395]","[0.027491768552561618, 0.033775046238914176, 0.04232847712406118, 0.04549183783469187, 0.048435717323360744]"
