,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Conv-LSTM Train MAPE,Conv-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
0,"[250.0802523094654, 382.7365264728985, 407.3989985739178, 523.0301941516827, 373.2072991569689]","[9.032993706703389, 12.387086916807524, 13.197774056806411, 16.10656539424746, 14.887441751884431]","[335.17484192501445, 396.8223517668929, 379.0806517033445, 393.9099854136047, 396.6572335331839]","[7.99122009763751, 12.190208004826134, 12.34530581621846, 13.05614353078092, 13.687479893435015]","[314.3030969529232, 400.71584873664864, 108.49459983275018, 179.84121305556084, 91.0665286636648]","[9.93441106229576, 11.269394386269987, 8.11506908916345, 9.639707109809342, 10.079063465961761]","[98.80023112968316, 65.56036467372688, 74.15265616408821, 128.9783017373147, 187.91605489779218]","[17.78154481686598, 15.72951624359118, 20.70090182523994, 21.070231078850863, 29.472136746699114]","[114.33663152332049, 68.44512631340429, 44.16588928715907, 391.84194199638165, 270.84178000939505]","[19.809570787391632, 23.131775044902728, 24.607483028534613, 40.25792840745325, 41.094473349543726]","[369.789900329629, 190.88689811677446, 783.1537816110034, 907.1260419557391, 270.2132464600623]","[27.630996146286414, 27.173070560024925, 32.70680020972582, 33.49171335683738, 28.662952885304925]"
1,"[11.755080783219382, 25.77021233048099, 55.197270099434846, 38.00264500491099, 17.06374458896027]","[6.151987882427144, 7.473287676428926, 9.188914244079688, 10.3918694088903, 11.822866804383882]","[390.63870398200413, 427.8537426814195, 466.5731569198472, 462.871037826611, 470.1899959261296]","[11.740684291720548, 12.206778099101957, 12.908445523342193, 13.348205487334571, 13.965629953323166]","[117.23811836391953, 128.34018333485952, 397.92845709885916, 542.444429833085, 570.9597511041923]","[5.501898031791712, 7.000972510374806, 12.67726076818732, 15.38431841940984, 17.664960919294582]","[61.92107457515041, 172.4559641480701, 204.0733815837489, 243.64153769841818, 353.0867778478507]","[52.519986385463305, 62.7474695378463, 66.85881230717887, 59.85830889506837, 63.488558160832966]","[36.69895573173235, 38.154282366664525, 20.039705972338133, 49.969050811377876, 39.16939740985249]","[25.182717496357398, 33.78728452666696, 36.500391667554574, 48.393741001046884, 62.03134503162563]","[396.88196937929274, 534.1390969084239, 1088.4987979587538, 1581.5911890172977, 826.6983718789792]","[21.30084731148006, 24.307886869754473, 29.17381368460327, 34.886015301761944, 29.10099830703371]"
2,"[18.00531495044951, 36.80512724169679, 91.66601873033646, 10.613199081087005, 128.39976719528423]","[7.626788583420748, 9.283221876057695, 10.007578743803688, 11.231909043418378, 13.765002715551159]","[73.55215570306534, 70.98005837372952, 50.245564431160616, 30.6402311154034, 34.2866888590827]","[5.46591280115367, 7.585636129138205, 8.419199065046657, 9.438087950294918, 10.22320454022644]","[407.88938379237266, 178.05888971823515, 59.02915718211806, 36.70027550830663, 179.0503029238827]","[10.498565236091292, 8.313239561913676, 8.862607634068803, 10.622659818933402, 11.941932545974586]","[45.29989957211497, 62.45425709081991, 36.626942563884704, 78.92569445709205, 72.4883521237491]","[56.64090487576918, 65.47867417524556, 66.4784829276173, 52.15576647838584, 55.018311955069386]","[78.03237542758822, 52.42859048924659, 30.96574019328937, 74.65330291482258, 49.613765807081855]","[16.286047383672038, 42.59751576065224, 44.49480649635334, 70.25382513168509, 68.26179370400337]","[345.17150158503546, 461.0005027871396, 41.14261246430804, 127.26843932852813, 595.3339825319182]","[28.46926338687786, 26.127582751699403, 26.43192433331499, 27.543935984220358, 32.62700920186415]"
3,"[183.85464650451945, 162.93277763752135, 168.94385157827475, 202.75028077304174, 332.47010115909194]","[9.817045658047945, 11.299186866002836, 12.730979803755893, 13.706352400323823, 17.152051260420638]","[73.18805856499371, 51.30609849187305, 54.43153531703055, 30.726180676020366, 37.47432815733976]","[6.009371621099135, 8.50219657949785, 9.50424862837261, 10.459351155878561, 11.284339143249603]","[111.54128386860936, 62.61647508124738, 184.78112549155506, 138.428457855341, 63.50080236304606]","[6.303437254813263, 7.2473789912670075, 9.85291968892456, 10.60089037345244, 11.503342968062597]","[35.90784827022127, 55.41487944769027, 60.80901389111107, 79.00046647112758, 102.34562189288943]","[58.74995242987959, 59.415702389625025, 56.3668058950309, 46.00629129186772, 45.24401788585578]","[69.08595917517783, 51.40303473135106, 52.998085967024934, 51.64591601520328, 36.495955395503124]","[16.138847646091982, 42.94872431938343, 46.23941750633986, 70.28848617814924, 72.96638311320635]","[214.4249084268347, 205.64129386343785, 35.48526251282828, 120.25825503277947, 36.77406072204053]","[20.775195002179185, 24.28809154091302, 28.474153125804687, 32.19770930210495, 34.75821426306968]"
4,"[200.07576829071672, 154.2015144697855, 94.75313684015248, 111.87565190307129, 136.48034183183267]","[9.91151844841989, 12.443532405160743, 13.466733326479474, 14.24603339756773, 16.59794923847689]","[202.3152488177903, 192.69348273192486, 193.92584107994418, 178.19173370624202, 181.9566295729359]","[8.990448566223785, 12.969175764042124, 13.412281591870268, 14.529962781938, 15.294930127943825]","[221.00145158759102, 71.0166412519085, 212.89638941188764, 142.29772876388714, 188.39233468381912]","[7.60976462337723, 7.685288844378063, 10.572352170953806, 10.755522986878384, 12.41171002076069]","[88.20150560829812, 73.34260657209383, 115.53144141332578, 157.1918073200836, 144.1884771835952]","[52.667668898331186, 63.070174710983714, 47.512769950229, 33.361122660553605, 34.235505372947685]","[211.13496700358937, 138.25226182060345, 83.98233124297938, 92.02116337541054, 46.03377476506128]","[14.271031383295933, 31.203188040284907, 41.13359154658389, 70.89342285156384, 53.67296631788899]","[48.12900362872598, 161.75204544478586, 74.44855686479188, 180.04219178187714, 48.169003949233115]","[24.72647520709407, 26.496007086200684, 26.040221682227703, 26.585726761908724, 29.122789427525674]"
5,"[181.39408849426522, 247.32494035573262, 250.55613527600264, 257.79378023561554, 273.07503357227137]","[11.96213192000147, 15.557863428567437, 17.44589672496534, 18.776210939839405, 21.50430237583726]","[497.01638103835705, 424.39007392849294, 422.1300686862513, 398.38590531314145, 404.30188006454114]","[12.81283880015681, 16.06337551972744, 17.031236916928886, 18.02250290700578, 18.899038440615616]","[18.661630531036625, 142.35406068959924, 172.21943284268104, 165.48808098136243, 40.694757116727914]","[5.362537058244619, 8.321914920317711, 10.361214337782505, 11.093242772615426, 11.625458533550916]","[34.366397112065606, 70.79280913413488, 172.59447058914193, 226.5251677351869, 274.2771256604261]","[50.246018100296695, 66.76433658977811, 41.10362895847871, 27.416942002852746, 27.788339643153698]","[41.132551311925965, 39.878165999387335, 33.420925884311345, 67.74199960799979, 45.333354177510515]","[22.338115219728316, 24.805096449815032, 29.254485856130568, 58.04997433969332, 22.620936243629576]","[63.68433557452761, 29.982765140319117, 120.35897533325036, 39.63419322338162, 98.85764960969009]","[23.697102353151777, 25.475939617000765, 26.49321862649235, 27.19285125853884, 28.014387460795053]"
6,"[278.7043839915743, 301.88215921056553, 428.51985130823954, 347.53845015237556, 320.2067782655]","[14.151225156354858, 17.820135075078962, 21.254314310859517, 20.11306277460441, 22.438381849973155]","[463.3080147106675, 416.4738562811661, 430.22227057305633, 450.2592504340424, 442.4418395794368]","[14.181980560352079, 17.638402169749966, 18.595873588143085, 19.846938766406584, 20.27670561337487]","[56.45490006664842, 52.27092342728705, 79.05306932288698, 201.97173286338935, 133.91071815532192]","[5.8062008142850505, 8.030157176011745, 9.451313334455337, 11.971989571217806, 12.871158644075203]","[52.07674257626969, 32.17605823958849, 52.89828042408533, 30.53585863775951, 37.279834198691404]","[47.25117783023082, 69.70281464309713, 37.32435825073263, 24.135857521967036, 25.522859717897973]","[39.74572671801681, 39.970689587026705, 93.4202333815266, 66.53890825038118, 50.223902460361614]","[23.806993496713943, 41.2538664223545, 73.6471343696172, 70.77951992193773, 51.16532183141521]","[164.90980705641516, 143.17914067040493, 135.29560002591336, 276.2142344564946, 41.317174515233994]","[26.805014268123212, 26.027105961922697, 26.292355182990924, 26.935186945341837, 27.8264915926495]"
7,"[57.46240070521793, 44.93168656328637, 26.294293460825525, 101.45855595787509, 210.2408646762953]","[11.822674251646506, 14.035911905866993, 16.319933158584117, 16.872587862537873, 19.227429464060435]","[108.96534512637635, 83.3814522531355, 100.69843123213138, 117.71451783552203, 113.91775801767857]","[8.953921327214452, 13.148877110934901, 14.685183587695155, 16.044312209745268, 16.902483536991895]","[353.431466226045, 202.36065330572686, 125.05497513931525, 134.01612807570956, 35.75650329068343]","[10.246706340634926, 9.759825208020054, 10.407447165433508, 11.1020109355571, 12.284859055669942]","[45.23993928401994, 37.70170762706023, 53.5558782603319, 37.15610090892004, 48.375991518141326]","[43.61866539857587, 69.992463446773, 36.809373251496254, 22.800352085834504, 25.363655881963638]","[166.5250705522753, 129.44404758018956, 77.51633344513992, 126.0595860837785, 66.10941205469663]","[33.11776628014147, 43.919042698325065, 55.93738905142368, 33.00381348765279, 44.77220926135082]","[182.03098536195716, 192.28564516477996, 159.90640647693485, 117.46178446110764, 256.52164255177104]","[27.15447637257633, 28.13230667861012, 28.40196024787286, 28.7886406385325, 30.272506205822836]"
8,"[89.79599919639834, 54.561671251347676, 118.01843693905948, 122.77925888058816, 25.178841728416852]","[13.66667385611326, 14.9729620932779, 17.540359783992916, 18.360050896050637, 19.50641340110418]","[68.69769606965636, 74.46847131210184, 64.5787922205464, 56.79437586977107, 58.137293953707704]","[10.402548215065243, 14.563139947151257, 16.187940746602656, 17.555534447909114, 18.538831405845414]","[29.46584357942822, 78.862959506563, 12.704492592801191, 137.42221978165446, 261.8367790579365]","[5.896516898344481, 8.869128574104762, 10.240981957121347, 11.760470233695376, 15.69704975431442]","[50.160385322811315, 37.500199498729984, 75.75103402571939, 105.63768353443079, 145.99908917690465]","[40.85635006319243, 74.47357666836169, 34.39912262424759, 21.066824396439902, 24.83174827489472]","[65.90392862872767, 113.50364899858292, 86.26614319273467, 74.95547517612577, 121.13486274284885]","[91.30999251303051, 67.54022789580901, 52.71131367125349, 47.72250661955558, 60.771219164067894]","[68.69674246477987, 29.143608747369004, 52.68914930090065, 64.34072949289768, 162.91928026909193]","[30.003196866380865, 30.332033247614586, 30.402815229587105, 29.829772222661415, 30.771340829303227]"
9,"[178.19546639118914, 156.48543156033168, 170.4690011192956, 137.64594553002325, 122.3642248028078]","[13.232619123253075, 14.790341384318104, 17.13416980117571, 17.21626951908889, 18.932076655893805]","[43.60282567999215, 17.313338763298596, 17.98793096771036, 18.704233688214025, 19.964123069366977]","[8.919268954036488, 13.069137685984956, 14.935920893084177, 16.30500737785228, 17.31560475056629]","[8.486427016895957, 54.35528038545671, 36.182850890844534, 69.38038101902207, 40.97517509652337]","[6.146572739744567, 9.707926038481828, 11.565860085180324, 12.193888797227162, 14.652684700884755]","[76.39722461772116, 57.31353539756376, 95.01219368887203, 80.63406987353711, 36.22629580911314]","[39.2231189971323, 74.33503645998665, 32.505001201606035, 21.313145375763664, 23.762773351300623]","[36.54918135789728, 29.89075751468377, 53.18161903160382, 37.38481478345539, 34.99594196184342]","[77.17794708769749, 61.46419888230257, 52.333575604232905, 113.82761816577849, 131.00351763253295]","[165.9364999880241, 65.56668002027148, 610.1978687041579, 253.49272900799292, 62.8044486195364]","[33.58638389063497, 34.69778146859042, 32.470516335998575, 33.37516430092593, 34.9380989887713]"
10,"[179.28549063507074, 173.7682086063611, 145.1600894611117, 218.7671592846625, 200.00071126363918]","[15.15619298957157, 16.84264004093427, 18.445442308334815, 18.810367370676413, 19.64560664708296]","[127.39275587405368, 151.4007682579821, 149.97958372534333, 152.23378338321365, 153.30291703062403]","[10.556364346888317, 14.107062841864051, 16.365425695975993, 17.656582320843068, 18.553625463239893]","[23.189615865447703, 66.4320492002752, 243.84278157409415, 214.80400890118102, 163.28548813182255]","[6.471395553239641, 10.895135122429053, 15.786416539045161, 15.58264648666391, 17.999940611136243]","[40.746174105183094, 63.796461330869356, 27.9796250390168, 48.572529577685685, 33.35291781214564]","[37.55511953145872, 77.21851511423195, 31.61691507889825, 20.94284812520074, 24.435831614280108]","[36.198205415271, 38.66690923554998, 178.3267356471994, 153.4487708610142, 240.15576195359927]","[81.61419857748074, 75.14963143150023, 167.7889650680703, 272.2836115960568, 269.21120901646447]","[27.113651327248473, 70.4609919263021, 26.42747513521894, 26.83268940140138, 73.13500720924809]","[24.257501643257452, 25.9806563798208, 26.266572593176658, 26.942129013798937, 27.240509900539706]"
11,"[223.8884182231481, 170.44403733386218, 158.73813756782474, 176.73554396220916, 210.80009167457007]","[12.049158751386269, 14.10184052981501, 16.32594120286334, 16.999532102832006, 18.441366493119983]","[191.21471777809884, 210.904358252638, 209.899592658929, 210.04047381473495, 209.82062772242264]","[11.406405873028042, 15.07787600038408, 17.270485752472197, 18.477048705976987, 19.2919643113894]","[62.05623993717189, 71.44530413786347, 49.41927804319962, 17.13471544645614, 109.61694300294324]","[7.227319847023223, 12.555551445285538, 15.599025666419287, 16.048767653515807, 19.816495682192414]","[36.58951098845786, 34.01012513700004, 31.168601665288637, 88.00830710703325, 124.90884461660552]","[36.609554795522094, 76.46082887590995, 33.26557924858955, 20.805469999211486, 23.749671502204883]","[30.09944128716094, 35.333817192681025, 55.09175861788956, 39.17086127656429, 54.64937585162769]","[87.11100103498092, 75.03674122182123, 180.64144417265572, 306.311740432431, 320.4992523850803]","[120.33493006371747, 145.69768665963062, 44.63154473054784, 74.50300490051174, 166.52974215577274]","[25.923322765587177, 32.58360282801962, 28.725028736611247, 28.74209735831422, 29.20897036541325]"
12,"[77.75052301441072, 38.14732055228256, 55.54024387950055, 51.281215838207586, 44.90719345977009]","[12.250943176212212, 14.626177053693729, 16.872585066386712, 18.614712271837018, 19.786586904382265]","[79.63867191222865, 93.30355268201038, 93.45469789229097, 93.84572146895361, 94.04229803306539]","[10.71477118234719, 14.951394333061701, 16.912346999435428, 18.097613830523006, 18.927199138350602]","[16.11979871889718, 200.11038878298754, 106.03369517382207, 36.33631945939838, 49.50914499170841]","[7.784771189490767, 15.251125223929323, 18.372459338298206, 19.41717905603075, 22.904235026265052]","[36.11461234085493, 35.856923910287605, 90.25256180934825, 72.61701697333571, 151.2608637344996]","[50.65524666317843, 57.79012205292292, 45.36783713940476, 32.330632421662074, 32.46811644854906]","[32.69459830931312, 42.46119005348365, 38.11229648688562, 36.84820908345039, 78.39570925474499]","[98.03394920356227, 89.56239208993459, 207.94600053968065, 356.3232541619382, 393.9617189629097]","[63.848357703044734, 168.84466678685476, 39.062550995320144, 25.374478157968426, 53.16156017976789]","[24.76696749024891, 31.42317331963217, 26.013496480232774, 26.09550669964794, 26.24915933803817]"
13,"[31.9349288607495, 42.009831274772175, 14.009356983265297, 86.42328120016717, 23.528767392396148]","[12.312662646768223, 14.884970250756528, 16.89220455314305, 17.585049909529964, 18.79046382318929]","[65.08084553374684, 75.85474652821232, 76.32123013687682, 76.81325020011363, 77.10271101802837]","[11.33767002394077, 15.821071525269609, 17.670043094360985, 18.858005008825614, 19.704375514086554]","[9.180161194359608, 27.79854959639551, 26.052034501986633, 89.44947179432909, 160.39241109051977]","[9.300346364406085, 16.193622869253204, 21.69443126305904, 24.102802086259334, 28.636363346556276]","[56.1444190324222, 100.75966286099305, 157.44168825983806, 146.04620444802973, 151.60112729541981]","[49.75849169858181, 58.15941758724347, 47.54794068881936, 32.51523314935222, 32.99128439912927]","[35.34541673357342, 78.18384423727532, 54.684447157878814, 31.627988315415983, 56.24809274154071]","[133.51682028483233, 97.21785045442427, 196.4092461468999, 353.03892854816365, 437.05636268325543]","[30.82990840120301, 72.02168080202944, 57.09337635553339, 29.697792294392837, 28.898244748571727]","[26.762402816673596, 25.144689262149072, 26.299248322153947, 27.44525548941652, 27.88886929790185]"
