,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Conv-LSTM Train MINMAX RMSE,Conv-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
0,"[0.025707890101090845, 0.030759904776008328, 0.03532766410706536, 0.03983596083156151, 0.04332771667278939]","[0.08394914884079106, 0.09073601989010428, 0.09143029628596455, 0.09768588011834185, 0.09996550438804137]","[0.026020795299501246, 0.02985509528413588, 0.03391692848521331, 0.03724734878764173, 0.04047178924425806]","[0.05932998185454412, 0.0617041436384285, 0.0638264770243815, 0.06598009615028214, 0.06778316531927428]","[0.023829207761735586, 0.025409864751004253, 0.03071095859915075, 0.033620950135710946, 0.0388651980787892]","[0.052687596073923086, 0.0425768897628066, 0.04433324234094537, 0.04435220633815714, 0.054805620114898174]","[0.03133411924313512, 0.03388833618711912, 0.0365153215294287, 0.04416352032902799, 0.0579651980189743]","[0.07469729951769144, 0.14236889611337994, 0.11697040690688429, 0.09925071960561921, 0.13291289170393525]","[0.01930003502416756, 0.026111830594224096, 0.03235466818524314, 0.03334686522682955, 0.037495225627500885]","[0.08083764236079694, 0.07294781838629477, 0.18747813080104156, 0.49511826222564975, 0.6246545716910912]","[0.023170749105450902, 0.02849585200363396, 0.0340082310121716, 0.03860405739293574, 0.04242731105725001]","[0.11294004092738553, 0.11630808934320847, 0.1177033908500512, 0.1261162737320102, 0.13317685947974703]"
1,"[0.02274438495287947, 0.027669763757098523, 0.03424483243331069, 0.03875905146687231, 0.04175342150275611]","[0.09219857134033979, 0.09455898865903896, 0.103945273916934, 0.11025339102995184, 0.11364013797156194]","[0.025355251156105707, 0.028676293771708557, 0.03254232174807163, 0.03594486117546026, 0.03910176767234812]","[0.06315662075059443, 0.07416840436660666, 0.07140913518225843, 0.07306951004870332, 0.07427857381106535]","[0.02231058564404763, 0.025768225891163638, 0.03127603286511825, 0.035352693393135314, 0.04038140702351773]","[0.051767541070034936, 0.05112043466999378, 0.05428026562025801, 0.05370516554345039, 0.06786273640668436]","[0.02273073849904693, 0.025846394913588262, 0.030332751563165637, 0.03426092746784642, 0.03815931650519078]","[0.07783105316530475, 0.45569201068952886, 0.6388555225252841, 0.08333348402763394, 0.1392379708629646]","[0.01920187464743409, 0.027809599803025168, 0.03285525711896702, 0.033881405403800996, 0.0368732388913729]","[0.06523754484650184, 0.07125275172470395, 0.5227154095059954, 0.7480220534681654, 0.7860382394659918]","[0.02219722824957275, 0.024118988388415013, 0.02707949480576066, 0.03049179483134689, 0.03696046554986715]","[0.22375153031654452, 0.2289218415303678, 0.23596038699772653, 0.236082145830551, 0.23550184495993493]"
2,"[0.022320455490512724, 0.02718519919057161, 0.03389158021786719, 0.03825624039407055, 0.04132797540108101]","[0.1242432495877153, 0.1253313101395536, 0.1313261036733702, 0.13160606730662125, 0.13850919972732328]","[0.023234464774677926, 0.029792159050707513, 0.03306112138472799, 0.036405416143966064, 0.03942674151500616]","[0.07028055574786335, 0.0924904636986804, 0.08623492481221273, 0.08804209010092044, 0.0883968779306244]","[0.021104644392072044, 0.025599029075699786, 0.03136036465290885, 0.03423799157938603, 0.038651677549105624]","[0.05185964894345308, 0.05592624176378485, 0.05855841500522696, 0.05854542616169641, 0.0737063744884303]","[0.01947882139313535, 0.023359289380603138, 0.028040844832242225, 0.031196728602447998, 0.033734799347990695]","[0.1085231970962706, 0.3489091028440924, 0.5992283435657126, 0.1132356308236733, 0.13685153343277767]","[0.01920972071852959, 0.03127325797197814, 0.03705303970906291, 0.03367880435739427, 0.042233265073024745]","[0.04747005995471136, 0.4249413234852832, 0.7317416436773035, 0.7585066644524803, 0.8161961902696498]","[0.024257249119335803, 0.02373040467717135, 0.026786672314393387, 0.028621080040940956, 0.0346109084821949]","[0.2206942312178398, 0.220877459686296, 0.22952312022683413, 0.22830905237646784, 0.21981361245524095]"
3,"[0.024360659687762777, 0.03035470211141327, 0.03772166907909454, 0.041838861424359906, 0.045109742102913276]","[0.18050377253930783, 0.18438346886685134, 0.1907029876050333, 0.18726202072101888, 0.2114111992050045]","[0.021745601939216586, 0.03022134181894273, 0.03478491388799164, 0.03776849504514785, 0.040863178093174614]","[0.07860550485224875, 0.11874947181421806, 0.10658841024685276, 0.11079925961871723, 0.11019644297321711]","[0.020410309911238402, 0.024953212036731492, 0.030800978608613364, 0.03392247506048826, 0.03793133552242164]","[0.055929971498623894, 0.06097566410465095, 0.06261096991601577, 0.06265186026733285, 0.07831503445288782]","[0.019097898583755272, 0.023208849462155814, 0.029921389933924795, 0.031592194778610444, 0.03226590927739153]","[0.09859081343521489, 0.1198609558686033, 0.11712862534049276, 0.1066663741119081, 0.11951407407504148]","[0.01678443319535907, 0.02195578683710767, 0.025259435293798004, 0.024272163113048965, 0.028871030952775795]","[0.044100352304374625, 0.5460119529430935, 0.7447429856437767, 0.7372704929094788, 0.8118786388977997]","[0.021222346351040502, 0.022120281242672086, 0.01986073091973968, 0.022120208825810263, 0.033310092713597764]","[0.21976617360380782, 0.20107152659157482, 0.20954724127472513, 0.19035261040103976, 0.16222197540233224]"
4,"[0.023843768613229056, 0.030473796358224385, 0.0372926272180943, 0.042142565582920996, 0.04538676459749815]","[0.19984140039629478, 0.20705338303139031, 0.21699297556682165, 0.2226262751189753, 0.26587679081962556]","[0.021773602832008535, 0.03287596947611078, 0.03896243310160066, 0.04278628022392062, 0.04631837423042297]","[0.07980291423880177, 0.1281368497206761, 0.10764736889407049, 0.10975435979823742, 0.1075126220348295]","[0.01986326509296096, 0.024530616687028713, 0.030450572530388464, 0.033589249372143797, 0.03738250521325469]","[0.059715602955167, 0.06494371533388803, 0.06640101234763952, 0.06577215772065241, 0.08197604554753142]","[0.017982070818881542, 0.022651504073109462, 0.027427854451336307, 0.027643455549662178, 0.030775083888227493]","[0.10353028293330045, 0.10930159283526186, 0.12008796730761219, 0.11054171975064193, 0.12628220907515758]","[0.01922836182787567, 0.024281885492407052, 0.027186473599750356, 0.024919809302752623, 0.03045369419630501]","[0.06293347908734997, 0.061498107469420374, 0.74122129225349, 0.4505981103500121, 0.8085415992712591]","[0.02782393891607057, 0.024132179945975295, 0.02121940252851017, 0.026051092737339722, 0.027810025607295515]","[0.21573749292808037, 0.21303384385511054, 0.22076235794840418, 0.20424390602027406, 0.1802190733271782]"
5,"[0.02384086485769773, 0.02966804684943475, 0.03659783986567368, 0.04165438032101805, 0.04519785037572264]","[0.21445779647427454, 0.2246635636404441, 0.24818495973755697, 0.24688757600724812, 0.271061369566734]","[0.023257261809291132, 0.033935649187380644, 0.04102002242765199, 0.047782188713749195, 0.05311456984253202]","[0.081331952425822, 0.12057422360840706, 0.10522349951493727, 0.10219650647895753, 0.10034585877392774]","[0.01929089808836952, 0.023987373535107704, 0.030107539966090786, 0.03344247782859642, 0.03710034431215401]","[0.06257934935965126, 0.06818204572322326, 0.07046691314712722, 0.06902332002863869, 0.08536328527307281]","[0.018200392662972686, 0.022175876211136064, 0.02771779347932878, 0.027914577661624484, 0.03360280647199146]","[0.10597462148755725, 0.10761148157392532, 0.12187882209513283, 0.11382210445028099, 0.12415614900158946]","[0.015987798357679703, 0.021442522617469383, 0.02233588195258531, 0.021179632121941076, 0.024284161650913964]","[0.09426054516970649, 0.10011399255535998, 0.1322664695960087, 0.13569033927470225, 0.2958947216792991]","[0.012870198272501706, 0.016693148896082633, 0.01456511623223357, 0.017063076669050138, 0.017355274431657335]","[0.23104017482619021, 0.24625450929443712, 0.25827390168410413, 0.24234057013047758, 0.22189926745764627]"
6,"[0.02428207785262173, 0.029749429012120784, 0.03728377186932738, 0.04235586176570226, 0.0455653121431834]","[0.23988785571121723, 0.24870997701264785, 0.2810947427727472, 0.2589465492838549, 0.2545063983827737]","[0.02548001717311097, 0.03756148616155734, 0.0467298928493994, 0.055202502504939174, 0.060239684516874836]","[0.08785448240581593, 0.1200862900645927, 0.10793794147416925, 0.10396860035324577, 0.10222428649216837]","[0.01889524565887497, 0.023740871586088997, 0.03004396062345419, 0.03331727641537788, 0.0367943146359632]","[0.06525403649945498, 0.07210747200764835, 0.07464435393035372, 0.07250185458037307, 0.08903947634540496]","[0.017613055505428063, 0.02095398022864445, 0.023614669457912154, 0.0247663474465528, 0.028097952994740646]","[0.0956486002868979, 0.11292637884352767, 0.11995181264586512, 0.10832867520187832, 0.11903981336760429]","[0.01879374492118912, 0.021937981067649798, 0.0235284765678792, 0.0263193110130103, 0.03304749302603816]","[0.09964823605955088, 0.1297535941535184, 0.14587134616750394, 0.1347939467306607, 0.11684103074926055]","[0.0127004782282994, 0.014440845505271381, 0.013795734949500212, 0.01492558392170533, 0.015551063402949579]","[0.25243124075239964, 0.2696225571286444, 0.2694729735364617, 0.2507674790508432, 0.23577236757838443]"
7,"[0.023867574578907147, 0.028911282559305418, 0.03616992653023146, 0.04204913914553105, 0.04559697457068966]","[0.25584498144279055, 0.2681109838565439, 0.2676052764750696, 0.255639584219021, 0.24472260584634808]","[0.026545602576434634, 0.0352902317268041, 0.04352855166185819, 0.05111983820786557, 0.05582493175741616]","[0.09731805318882868, 0.11703299477852157, 0.10982974172983684, 0.10615297741313193, 0.10458737204273728]","[0.01860039489266597, 0.02396582517890518, 0.03027662031132645, 0.03360247098586209, 0.03712825360461637]","[0.06750924597979559, 0.07758371364399298, 0.08117598292595793, 0.07767404751305583, 0.09511725537393106]","[0.016748420141724202, 0.021705058098095822, 0.02677634131168033, 0.026236759558486984, 0.029189922888333455]","[0.09227938361938524, 0.12027587312247706, 0.12009641413830666, 0.10492678286037384, 0.12047758577563229]","[0.020119372696305367, 0.02184032391253072, 0.022287856213840763, 0.02340761193743153, 0.026243603697688016]","[0.08342214400332058, 0.10773219421304327, 0.12836988401657634, 0.1542157142952309, 0.15621397340552065]","[0.012468953905804391, 0.012490331341070672, 0.012843911110616404, 0.013775950097825384, 0.014649635946006167]","[0.25592326550549754, 0.27769066152770866, 0.2801573115105085, 0.2629676171353857, 0.24933427177714332]"
8,"[0.02449840473479793, 0.02887067112465796, 0.03536586089528028, 0.040362863923240684, 0.0444361646053052]","[0.2623626331103439, 0.2766621899245403, 0.2607660846820103, 0.25020432124795217, 0.24316257725527615]","[0.026424062285972563, 0.033876803804344706, 0.04094032676671864, 0.04707908133885856, 0.05204652259855813]","[0.10609133554195549, 0.10685981157702115, 0.10554762348975745, 0.10254363173174535, 0.10155310988535501]","[0.018438240238204624, 0.02437511358316502, 0.03057927612319368, 0.034032131563906505, 0.037460222730605855]","[0.07012404133085444, 0.08783974948168231, 0.09314451016559806, 0.08647412704978148, 0.10862642180923188]","[0.01664353314423439, 0.02050246380450188, 0.02300525148442683, 0.023971811130117898, 0.027300519417137306]","[0.0894313569548342, 0.12363000302965621, 0.12288386527067961, 0.10168032629822941, 0.11783074053437047]","[0.018001187776889378, 0.01838069319541094, 0.020949411193471094, 0.023428011345408926, 0.0238634401667244]","[0.11723216441737787, 0.1240411167490925, 0.1227295542879662, 0.6755714461496604, 0.6970389813021336]","[0.011607212897208693, 0.014655529424815536, 0.01576467625445064, 0.014823537735854769, 0.016492378186453768]","[0.2701233350027053, 0.2855074808984455, 0.2818944339633216, 0.27083783092472496, 0.26477739531489497]"
9,"[0.024556032042619035, 0.02843879802389435, 0.03467825554869192, 0.040300445805939444, 0.044653544461351474]","[0.2667426102108011, 0.28228227736147626, 0.24865289096533583, 0.2552667542259158, 0.24011849842962074]","[0.023899199929671197, 0.028190491186610257, 0.03359261091359676, 0.03772726292725037, 0.0414480762311891]","[0.11884765291003764, 0.09840665675432184, 0.09845728856428827, 0.09344035225660675, 0.09156766314699252]","[0.018585796842465276, 0.02507007698767579, 0.03129949166124947, 0.03481196185870069, 0.03831648562370735]","[0.07551912800783682, 0.10606918117927745, 0.11755166155597821, 0.10648912138869741, 0.13530237124298886]","[0.016162289010411415, 0.021415862564861422, 0.028112225966011088, 0.02520721504241904, 0.027801071827379654]","[0.09256822143869771, 0.12385661482593734, 0.11825593717422654, 0.10338833470871565, 0.11941273197392137]","[0.01828622680420407, 0.017589199101771008, 0.021109977819639386, 0.022622577627563083, 0.024658188846485265]","[0.10172377587716455, 0.11872826338163243, 0.7790588398365033, 0.7953749815726741, 0.7984562751033645]","[0.0379700923788589, 0.041514324591666305, 0.0441672340458159, 0.04669577173757393, 0.05563180065896938]","[0.18442417766328317, 0.19308507247296727, 0.1951752792650919, 0.18788914818071117, 0.18276616578969773]"
10,"[0.027154477585297727, 0.03082581043847546, 0.037088526454601214, 0.04261086674989937, 0.04685183443811631]","[0.2636970602765192, 0.27650188616105487, 0.23868608176694225, 0.254034016962249, 0.24229579494277703]","[0.025728867749398216, 0.02855826179912571, 0.03559522527681659, 0.03995899364595553, 0.043892636967506664]","[0.114799174183196, 0.0832585591357729, 0.07687336995865057, 0.07203093800965447, 0.0710800317855501]","[0.01899443765541104, 0.02577928733447014, 0.032257806457836415, 0.0358748813839532, 0.03899436841709594]","[0.0827168179562545, 0.13399671713583214, 0.15470532375236784, 0.14241932092916937, 0.17770323838690383]","[0.01592243115344711, 0.019836147725018283, 0.02343837592453875, 0.022938408146985577, 0.0262384172697148]","[0.08506943660095595, 0.12920099247065972, 0.12635320740691663, 0.1060502427715343, 0.11737097637948495]","[0.019481062557268763, 0.022785593460809776, 0.03203579682292166, 0.03559776713455799, 0.036123996888868325]","[0.2500246177147778, 0.466252713856954, 0.8266334611796041, 0.8277377375408786, 0.8175363551770272]","[0.011548404743329417, 0.010408971387666563, 0.013139728825700026, 0.011555679990636638, 0.012105824111423445]","[0.26464646314314455, 0.2658289033758625, 0.2772552531714016, 0.26644329464562383, 0.2633212266075445]"
11,"[0.028637210215328442, 0.03076563439533042, 0.03742375982321784, 0.04547321455176368, 0.05069271790792499]","[0.2507642076308475, 0.26397547449333475, 0.23447324091796617, 0.24988860460195575, 0.2552079400281357]","[0.026317434963131332, 0.02749607005464352, 0.034539318828562385, 0.038475552973540335, 0.042131106032116346]","[0.11559772075554978, 0.08419740984098216, 0.0675916291149588, 0.06481642592013519, 0.06581822035329493]","[0.019184363167926377, 0.026131830921022052, 0.03296322239165554, 0.035630351585985286, 0.038819078648856635]","[0.09137651233442706, 0.15950473651267585, 0.20106926405745346, 0.187788710145502, 0.22491535526071074]","[0.01632495467625853, 0.021480736736992696, 0.024774118852783526, 0.023581719076061592, 0.026441390021698246]","[0.08505620242619423, 0.13828012246249335, 0.12724428515942005, 0.10855269674573889, 0.11999699687649838]","[0.014295047048457703, 0.015126461294589073, 0.017090820969022456, 0.016729384731482912, 0.019549810872066628]","[0.11571040683254893, 0.31932797895094583, 0.8249271912910705, 0.8287568618338176, 0.8186109336597915]","[0.01028065425421451, 0.010805521926490567, 0.01096687067789274, 0.01111205640438746, 0.012299014595104399]","[0.26391720105957756, 0.26558081713357773, 0.27586739357023815, 0.2681990326362388, 0.260685342438976]"
12,"[0.026712590340829644, 0.028092084130068484, 0.03480772396360452, 0.041259622296662135, 0.04624955776657684]","[0.21850308405562988, 0.2264295975106028, 0.2278928736848959, 0.2432398936626695, 0.2612865720233429]","[0.02562548009831673, 0.024475602109960283, 0.02954077737131901, 0.03278213518888042, 0.03607169691807219]","[0.13583419848289421, 0.09585081746833218, 0.0723238696517969, 0.06891379835897045, 0.06937152986165099]","[0.019088960043022345, 0.026082820223303348, 0.03282547764247854, 0.03516513632096222, 0.03837051437833504]","[0.09867762154062484, 0.17925534184717398, 0.23003948315170503, 0.2226986974772334, 0.25575092416649653]","[0.016243327648925148, 0.01976300507509864, 0.02151913008507069, 0.02399065621315978, 0.025871724355720296]","[0.09716295575554561, 0.13055792806781136, 0.1288641298928313, 0.11986240405912886, 0.1308096581049153]","[0.013705000117913145, 0.014112359180355085, 0.018372789059664302, 0.017263716850371532, 0.021351047273205064]","[0.1156818785185496, 0.10008646065834977, 0.821913228084643, 0.8276247024332966, 0.8237363722528046]","[0.013445342870299077, 0.010862494943772946, 0.011369109489178188, 0.012224054248544737, 0.014216037057715854]","[0.2793255015023337, 0.27075266962945926, 0.2921381563171738, 0.2901990516581337, 0.2830464560664117]"
13,"[0.02489223011030751, 0.02721200364111112, 0.03424958661896019, 0.03769000411288901, 0.043451976185629064]","[0.18865486793938896, 0.2057152798813291, 0.22315080546903207, 0.239784267598557, 0.2585717125123275]","[0.024772857388410945, 0.02371850166284079, 0.02837845957560328, 0.03201970111963366, 0.035674646018033385]","[0.1601034801957103, 0.1055389012933144, 0.07917914754956967, 0.07431447090667392, 0.07385084338757927]","[0.019111420388760188, 0.026073600906464694, 0.03255283092369517, 0.03482150822070759, 0.038154463224828225]","[0.10662948696844925, 0.19874252542951848, 0.28858993586112275, 0.22627149990646553, 0.2815744118239243]","[0.016587192566303453, 0.020178574997889706, 0.02411502935804152, 0.024778156356454823, 0.02819627441284209]","[0.09641174702870885, 0.1391483923592964, 0.1388306515883799, 0.12126163223037602, 0.13368632951375692]","[0.012953201669739414, 0.01319345232959551, 0.017221068559731555, 0.016429297351649868, 0.019723648053632775]","[0.12177092498625029, 0.1143887232327295, 0.8181276547621749, 0.8236608761300542, 0.8253357370191504]","[0.01073657988956305, 0.01031857468601196, 0.011309441093736113, 0.011773441015889206, 0.013261477090277715]","[0.30077927500274865, 0.2855404793193164, 0.3102447816388925, 0.3135047016161454, 0.30588474518643777]"
