,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Conv-LSTM Train MINMAX RMSE,Conv-LSTM  Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer  Test MINMAX RMSE
0,"[0.021540659825814712, 0.029020088736910876, 0.0340234720515423, 0.03871939033213268, 0.04271345635286106]","[0.025540424688006217, 0.03266895862909088, 0.038340926289472714, 0.04366220700144146, 0.04856198942604157]","[0.02336264087341075, 0.02859829218668425, 0.03297765416903439, 0.03677377399380998, 0.04000038474707091]","[0.025793966095705598, 0.03135364019241016, 0.03710006797114404, 0.041790686466825426, 0.046391663603529545]","[0.02078792756585377, 0.027313217174745448, 0.03150212916571771, 0.03641706555937992, 0.040735042079036894]","[0.023947125277402174, 0.030476390124212098, 0.0358998410725256, 0.04127559695950723, 0.04639567480249377]","[0.02648019011420159, 0.03689689468507752, 0.03699141429477571, 0.0388436414258937, 0.042493075721612206]","[0.03279344561799614, 0.0429399964649981, 0.047369438530082505, 0.04886877742424999, 0.052748771059830356]","[0.02449599355398012, 0.032351181045774655, 0.03894611596567195, 0.04119647302673221, 0.04560655053549998]","[0.03175437735132774, 0.03988096199550253, 0.043906684896167995, 0.04654589649207884, 0.05276441515862018]","[0.041123036875638196, 0.04405318733358813, 0.05630828200956268, 0.06614840857667159, 0.07003220187742121]","[0.04899358548432828, 0.05283946363696313, 0.06649057752742381, 0.07552923686659596, 0.0817768988206189]"
1,"[0.01705195321079006, 0.026280889795483667, 0.03087462574576916, 0.03678687217501387, 0.04081988764860952]","[0.023029464126068138, 0.031535135421786896, 0.036939604206487696, 0.04301242517136439, 0.04841611575177832]","[0.02022444536698764, 0.0277458714092261, 0.0325078876431559, 0.03653323536912315, 0.03993057126724472]","[0.025174548904292375, 0.03245519117441536, 0.0383379425232137, 0.042851765159683836, 0.04743961474861443]","[0.01667184356954065, 0.023584892475732776, 0.028568068734912726, 0.033545973230020655, 0.03717999555995842]","[0.021550193828515033, 0.027544928409819553, 0.0338584422782253, 0.03896825909133496, 0.04409244850295849]","[0.030701478343549225, 0.03903182381710528, 0.04072922807947726, 0.04222558604636433, 0.046649166083069786]","[0.035582827435288164, 0.04501023107951689, 0.046388335414927505, 0.048809465927022594, 0.052394040874703264]","[0.029364507354853547, 0.04099756648723379, 0.045363801590000315, 0.04852295267972226, 0.05180440955251824]","[0.04248571666291551, 0.056354127359476563, 0.05367014858750224, 0.05838672629663124, 0.05778789082679993]","[0.04036949585491971, 0.048451160155180556, 0.046371385625885074, 0.04123158547213463, 0.04352691378762105]","[0.04874519256986528, 0.05584475976155336, 0.05663534486346131, 0.05063163259425053, 0.05308756131653374]"
2,"[0.019532285661734424, 0.030748715464918225, 0.03462697951696608, 0.043108905722674735, 0.04824969021426811]","[0.025454509367377347, 0.036350680897434866, 0.04113262590431025, 0.04963199802196241, 0.0562153336445144]","[0.02042311639346759, 0.030229670850901995, 0.034729592806175, 0.038197760764141414, 0.04143563317873101]","[0.02626723933300518, 0.03585821080579986, 0.04127799851409012, 0.04518696635490482, 0.04952121763754567]","[0.016176156073833922, 0.023459620730983823, 0.028559161571023714, 0.03380296309387648, 0.03731267070712641]","[0.021579532510670525, 0.02774362329743315, 0.03413501029306201, 0.03922238133982204, 0.04430210274652203]","[0.03350040777484892, 0.03338815997396581, 0.03167581304537852, 0.03388499256046873, 0.037473020814085975]","[0.04305684056259871, 0.04907993103076054, 0.05041982032267379, 0.05218816031916281, 0.054955770158596276]","[0.022550367521006868, 0.026881385735164676, 0.02720380569437219, 0.032560939426607066, 0.03408404047936134]","[0.030422883751425437, 0.04140157854460713, 0.040188978734915275, 0.04251378184699665, 0.0423959277196147]","[0.039068278345045705, 0.04535447270417415, 0.04186110126617232, 0.05194599145335026, 0.05528855356247513]","[0.05103475862810301, 0.051655585920651344, 0.05142227426049629, 0.06281662013421588, 0.06804052034706917]"
3,"[0.019687052414094387, 0.029972788925538563, 0.03081371275424332, 0.03857074400769989, 0.04421421615389217]","[0.029612789359250904, 0.038177539298671785, 0.045665031291354526, 0.052459163820231705, 0.058527361280607586]","[0.0236253350945877, 0.03358919225797542, 0.04144977799371664, 0.044508605766579765, 0.047688602338989944]","[0.029763317790368296, 0.03966396010410693, 0.048140956189955626, 0.05124355631489441, 0.055037701108805154]","[0.016271532025168674, 0.023861846603559896, 0.029136131530779298, 0.03454196230382849, 0.03843281996428103]","[0.021888569535154712, 0.02853796656584332, 0.035028816790848766, 0.039971019956827204, 0.045267616497153676]","[0.037425877788685405, 0.039309536894050735, 0.037933264838166246, 0.04117992334489915, 0.04600750204714361]","[0.04202319338740135, 0.05404958220771983, 0.06314646805341469, 0.06647765235721428, 0.07400440593080072]","[0.013986340177354383, 0.024907514104798033, 0.025296458636275516, 0.03044270706602725, 0.033123250265000896]","[0.023595363191101656, 0.038619515453374935, 0.03746761220349851, 0.039835236664384224, 0.04317179073389838]","[0.035251925922452146, 0.03622987353150293, 0.03360651019828702, 0.03141375515156778, 0.034348217361832495]","[0.04455938579579403, 0.044273900944927135, 0.047403293560501554, 0.04565310831082025, 0.04219153123283286]"
4,"[0.01949057849665058, 0.030008287216590573, 0.02984471468562253, 0.03791362972848916, 0.04685145609517549]","[0.0306442262854731, 0.04358529482093331, 0.041875384228398115, 0.04835006792361988, 0.05836756973831297]","[0.02449739374044059, 0.032067257495006996, 0.039138472932463156, 0.04307236425793717, 0.04671715842063344]","[0.03226806928176724, 0.04419216642896116, 0.0549304281104563, 0.05702342652213278, 0.060030950605677334]","[0.01645554872649529, 0.024583568527521513, 0.030366460038211026, 0.035714339162867606, 0.0401968331769143]","[0.022291233911860633, 0.029734515290214605, 0.03659168482212084, 0.04113551848771598, 0.04691226300797271]","[0.03187239701268007, 0.03269206754286816, 0.02981466800865662, 0.03297580438098003, 0.0373827158700575]","[0.040908526577003515, 0.053746413582194445, 0.0632998517737644, 0.06628689568892553, 0.07337030940841378]","[0.012277704529386793, 0.018227591049898503, 0.02445216141523485, 0.026996015825086764, 0.03612960950221535]","[0.027468326765623288, 0.03708787887538654, 0.03635028687171456, 0.03851112304571876, 0.04508655861326583]","[0.031514018322229324, 0.035940087764588756, 0.03299255734178395, 0.029373196588912045, 0.030143540216205817]","[0.03838781613261123, 0.04002963263072262, 0.042894155429451235, 0.04531846480447934, 0.04343811570873234]"
5,"[0.02107706426371774, 0.02902436293523609, 0.03025484490782076, 0.03598598028339986, 0.044387451660947416]","[0.03861610397152261, 0.04309597295815848, 0.03929528097670249, 0.042550935489855723, 0.053047148686440636]","[0.024880499344900393, 0.02987005182675892, 0.03459774118270857, 0.03840595096104302, 0.04212400030336303]","[0.033375457356778174, 0.04614370505088984, 0.046875528452664655, 0.047837149089664015, 0.05001867222357314]","[0.016415390196201078, 0.02517333175562986, 0.0315315600652931, 0.036572250510309254, 0.04144649676962435]","[0.02249861662371988, 0.030718218548662093, 0.03803068591661773, 0.042014672082942045, 0.04835674883934281]","[0.033764968406352895, 0.032304209143722645, 0.030938678060937027, 0.03282971779131005, 0.037967234800148124]","[0.044536262657200835, 0.05556492649884027, 0.06580320974757484, 0.0721518030089955, 0.07849384783267173]","[0.013409075441958325, 0.015809854500096348, 0.019669761481204293, 0.02284021133134463, 0.02673348743363909]","[0.027121152974940343, 0.02989142269606381, 0.03515484095426894, 0.0422931718625057, 0.05064957054737431]","[0.022156258267496176, 0.039907682688665756, 0.03213582142954703, 0.03868441163788647, 0.04185228154527847]","[0.03148119320950693, 0.05136097448774898, 0.044126872223133815, 0.054971041624242885, 0.0572405601246293]"
6,"[0.01814643595969599, 0.023398052603547586, 0.02538368963121039, 0.029778906454557167, 0.03571175465546028]","[0.03286516510632753, 0.03776456152389798, 0.03443091233642181, 0.03655404764071778, 0.0438677941301045]","[0.023997065856729963, 0.03164312621691403, 0.03631412370204539, 0.040257586677724194, 0.044094259999149496]","[0.030090806736858662, 0.04648961851107261, 0.046599799497063915, 0.047616539665732406, 0.049811808198796534]","[0.016769701243840526, 0.02669795769486594, 0.03368832432681699, 0.038279434752208234, 0.0440866664817726]","[0.022999344712152557, 0.03257978378106348, 0.040335658568355706, 0.04364014478742796, 0.05120560601404806]","[0.037202946381749404, 0.04206429734728878, 0.04891708809605879, 0.05407116945846895, 0.06331598303085796]","[0.040550257568429775, 0.049549673642061955, 0.06083908721926616, 0.0712795080026436, 0.0777050945539101]","[0.01201594831155902, 0.015120918564118298, 0.01857258243866996, 0.0213623577735768, 0.025113237278010903]","[0.029037974692825902, 0.031095025099397128, 0.041026376542094865, 0.056641769725056454, 0.07224891928494526]","[0.03786769009380938, 0.0488160118853007, 0.04635486318313312, 0.045664413821553784, 0.047434242642071404]","[0.03444275000660164, 0.04833127015147004, 0.05207856361514078, 0.05399401353488498, 0.053470426886350425]"
7,"[0.01697322013920101, 0.021505511498662425, 0.02388706622087553, 0.027556682067715867, 0.03160671494811884]","[0.032646383162602696, 0.033604550964392556, 0.03174302400219035, 0.034989467645685106, 0.03906775139477216]","[0.023295507206645125, 0.027325143861922294, 0.030397041109589244, 0.033828543527958777, 0.037244962363068776]","[0.02950739940369868, 0.044602979391111415, 0.04384844926887733, 0.04493269664323029, 0.0471896264014649]","[0.017114741403696575, 0.027775664912085933, 0.03523434316110891, 0.03983866344513813, 0.046359835752442576]","[0.02369627775385476, 0.03401262533064288, 0.041999387048548366, 0.045294288162332996, 0.05395569280174839]","[0.02628590147825071, 0.025411170838701685, 0.026267626339661183, 0.028463134878451105, 0.03207085110483784]","[0.04065787803006567, 0.05067944231590191, 0.056293742263456945, 0.06514116870023244, 0.07487986606596914]","[0.0116636134746654, 0.015220670780612755, 0.0185779372594511, 0.022241631637314907, 0.027054717029731352]","[0.032999374508214586, 0.03382090332264958, 0.04359570860089496, 0.059868229926931166, 0.07710810678160207]","[0.013203870506712722, 0.01699837912619036, 0.01916196825611711, 0.02155442093265376, 0.0238371714377586]","[0.023292347090253584, 0.028326908153158505, 0.039585819233559146, 0.05082089397302736, 0.04812674491250277]"
8,"[0.020659537479698262, 0.023912492506445397, 0.024449941406866196, 0.027410232101074922, 0.032661983603104086]","[0.03305658467610139, 0.035934719296481225, 0.03182269881720087, 0.035654216275574864, 0.039270409041397725]","[0.025119546425176748, 0.028823396774475665, 0.031080597216814717, 0.0342495066088039, 0.037448751464115665]","[0.03239162504947779, 0.04615173324787944, 0.044746955777975286, 0.045797441295362576, 0.047711441612971806]","[0.01798819986562636, 0.02917089553736064, 0.03677405687429175, 0.04102534819942103, 0.04697169075251299]","[0.024806763987100928, 0.036064953306879824, 0.04391555303855597, 0.047777185885971934, 0.05759770800584533]","[0.03151812077784071, 0.029298153757993373, 0.028408633183936414, 0.029250743626017532, 0.03262104276544215]","[0.04479582306108419, 0.05261457996479162, 0.05508901585502311, 0.05826421652222046, 0.06254814565739006]","[0.011914714780990184, 0.014468077326237817, 0.018527675202816923, 0.020856940378949407, 0.024442362858726495]","[0.03691130720724271, 0.03925652660808936, 0.049602407888724484, 0.0722657591107772, 0.09207958311449738]","[0.02244186063407886, 0.026665485909670456, 0.02786784236039109, 0.02888692203076818, 0.03280448841328945]","[0.032779478337970826, 0.038077240707167045, 0.041025600038526885, 0.051194178212400146, 0.052032199199481585]"
9,"[0.01657444454904757, 0.023485063219730953, 0.0231646910622091, 0.02582193619157316, 0.02923451711455543]","[0.02665043921950481, 0.037232838192703864, 0.03130993397050347, 0.036262710539423273, 0.039305946146216596]","[0.02645828369949971, 0.030979347444785185, 0.033532549142610335, 0.036707265910841023, 0.0398260885229537]","[0.031474053156168684, 0.04591462069272693, 0.04539648931696788, 0.04673493121396635, 0.04865983238763423]","[0.019038266860259983, 0.029389641168209375, 0.036167820683551954, 0.04037098602789881, 0.04634002992678174]","[0.026177377201229972, 0.03723788741866148, 0.0456835921317612, 0.05044508720430874, 0.06019579130458472]","[0.02951274492325693, 0.02840222203884944, 0.028237902813717186, 0.02970485219576152, 0.03551532370495442]","[0.04101324472772554, 0.049930702396180075, 0.05282495214622374, 0.06309564197720768, 0.07356138545265886]","[0.010795375560203829, 0.014827535913479729, 0.017465283905619397, 0.0202552835349708, 0.02335787131183804]","[0.050122183293320036, 0.038181191832693966, 0.048149203014164164, 0.06822766391635023, 0.08773915523847683]","[0.011887907365627007, 0.015545742009353344, 0.01871726731187075, 0.021100958694527532, 0.02203483678400393]","[0.024824030173616108, 0.028701772825012316, 0.0364195260917093, 0.04996626257029248, 0.045537765620081314]"
10,"[0.021600439696962504, 0.025812682085202474, 0.02369925531329089, 0.032983881170078805, 0.03260507355052825]","[0.02789713263066647, 0.03506942557814862, 0.03491600362376111, 0.05024443978328399, 0.0504905349201868]","[0.02461326034942706, 0.03063841656799638, 0.03297214598697414, 0.035367124530448865, 0.03822875295083146]","[0.029159789958943107, 0.043382232898262575, 0.04367608206396069, 0.04474968176080484, 0.046044759590726805]","[0.019246971559815685, 0.028992552523945784, 0.035315623655207996, 0.03968505774195969, 0.04604524922691439]","[0.026589170820736023, 0.038073899745602865, 0.046510356825908636, 0.051757991929623104, 0.06166232315911808]","[0.02700311083877719, 0.02641001660857786, 0.026449624327232135, 0.028320494383695372, 0.032202111066642086]","[0.04112899442681797, 0.04293692014618018, 0.04440430802119786, 0.05033792875547804, 0.05912599466530706]","[0.016315525905140994, 0.01439022426339093, 0.017385640062207497, 0.02135568871679959, 0.02258035026233227]","[0.045748301026960474, 0.04519489385162892, 0.058297758856963415, 0.08099411016641363, 0.10209388236573314]","[0.014220501018907995, 0.017182371465251433, 0.020724156699343372, 0.020616249953649864, 0.022610825358011157]","[0.029921550076231124, 0.035493692301925193, 0.04456722683248274, 0.05520015018450249, 0.047150310231731746]"
11,"[0.013385452762563126, 0.020534068000643887, 0.020972903389306647, 0.0257964465404737, 0.028736755640065198]","[0.02569481043689755, 0.02955980653647331, 0.03444420987569135, 0.04673450887949008, 0.047448477048576174]","[0.020934222205645225, 0.035920639870208416, 0.03683765024713484, 0.03663282549815949, 0.038589874913676755]","[0.024385009566862098, 0.03603597738482044, 0.04461279273601958, 0.044583284441540416, 0.0450013016708853]","[0.01996528098289947, 0.029422216155408316, 0.03477966657842286, 0.039618545435209, 0.04673186119872379]","[0.027600864235855872, 0.04004573708018157, 0.049155226353118475, 0.05594867118865889, 0.06425737191072667]","[0.026824229202066844, 0.02555473632122281, 0.026459016861131623, 0.0281753052929934, 0.03298941142740659]","[0.04202465394396639, 0.043019844127316756, 0.044812482564147604, 0.051746299237287866, 0.06146324633407663]","[0.01047171231711754, 0.013985110505157581, 0.016962180163113513, 0.02103080606776409, 0.021464226085130027]","[0.04107061159704274, 0.04838673949624054, 0.061436633587990695, 0.08267992136861257, 0.10308013758029866]","[0.016920999376378643, 0.019280687731741367, 0.02229116503629735, 0.023952376134471813, 0.025856849652570527]","[0.03165670810083847, 0.03259694287881242, 0.03797806570021543, 0.04852870497529243, 0.0573124136216372]"
12,"[0.013091521676700014, 0.018751928301720053, 0.023297544364741365, 0.023419960228563165, 0.02698823541817016]","[0.021835652899848693, 0.02776871015852218, 0.0365611757848493, 0.046738409074794596, 0.04489453229376869]","[0.016201424286268015, 0.01714738886561132, 0.022996204808423973, 0.03596655393072545, 0.03788731309516171]","[0.0221098841882715, 0.02973898246177762, 0.03316910521790727, 0.04406716437327406, 0.044470556397335895]","[0.019573095244421444, 0.029652160609952734, 0.03334722147511066, 0.03817907292579194, 0.04505643856322601]","[0.02853211984723953, 0.04128269275186, 0.05011075698969638, 0.05349091691611268, 0.06137009746573148]","[0.026988386272417928, 0.02555739921635679, 0.026223128218537395, 0.02817300600234576, 0.03240029331781466]","[0.03805823948282438, 0.0393413593463041, 0.04068963038845973, 0.047584343727908006, 0.05700744109641596]","[0.012000247767709195, 0.015084243822397626, 0.017123358684676196, 0.02121514787237535, 0.02384390718653378]","[0.03491830915177011, 0.04115600447201588, 0.05129233221196589, 0.07153712538289186, 0.09301402039695132]","[0.012523066668260478, 0.015250348627015301, 0.017742729690815157, 0.019272298523375878, 0.021180890558401562]","[0.02529284839725218, 0.02945241515625912, 0.03451944450398261, 0.051450662897093866, 0.05175502274760835]"
13,"[0.012156780716844126, 0.015593235639734603, 0.01948813742649194, 0.02267038475966882, 0.025631203120421525]","[0.023532080921803186, 0.030027791161301165, 0.04027901552419597, 0.047670859253524794, 0.044747199370384176]","[0.01346215411612615, 0.0170274639120739, 0.021383928138482385, 0.03376823771001214, 0.035521476994620486]","[0.022218270024447394, 0.030733494431627185, 0.0324731526547002, 0.0435375788734504, 0.044430648685201315]","[0.01952315755011054, 0.029604493557196066, 0.03238573298045435, 0.03690406724354108, 0.04376394364303464]","[0.029608132825699143, 0.04274020242243922, 0.049355399607839134, 0.05121031602055686, 0.059375979325863464]","[0.029343712343843174, 0.02787034549286165, 0.027255951756366237, 0.028512390301222733, 0.0335185574843032]","[0.04203676980983724, 0.045172402648459155, 0.0462781991976827, 0.05407421533642796, 0.06484366717465095]","[0.011309781552327897, 0.013843133719658635, 0.017443046241972234, 0.01876881898532103, 0.021763864473929362]","[0.03665338877680226, 0.05127172238974099, 0.06565799788810135, 0.0864365234194546, 0.10368636923905204]","[0.013271401462900604, 0.015069828057191486, 0.01784852314942874, 0.019434776127828363, 0.021500524730892166]","[0.02401496777691298, 0.028789652563744727, 0.036542121337826944, 0.05061267504065936, 0.04895905197024014]"
