,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Conv-LSTM Train MINMAX RMSE,Conv-LSTM  Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer  Test MINMAX RMSE
14,"[0.012450698282252358, 0.015450875154736924, 0.0192104455756221, 0.022548753484127902, 0.024877876034677608]","[0.023841597139056654, 0.030558926270783646, 0.03448226657359504, 0.04066120242640905, 0.04331806860560367]","[0.012940871697317977, 0.01649493036411713, 0.020580904548439444, 0.03349523535115793, 0.03536132389755807]","[0.022107162276205856, 0.032687183196375265, 0.03312614743960573, 0.04412548094183715, 0.04459201653978288]","[0.019019615987261235, 0.02902828247373542, 0.03123126893306832, 0.03556835892946907, 0.042538123917625424]","[0.030440240299447644, 0.044953218974114716, 0.04773579665508725, 0.04894208798341849, 0.057105287147590104]","[0.02533458609604649, 0.024743323110652294, 0.02639137804024888, 0.02822775024515869, 0.03327947533109606]","[0.03814078982994405, 0.042041680019605836, 0.04387609675608468, 0.05195449417624478, 0.06286173945696842]","[0.009972520413856333, 0.013887884159256516, 0.015668210235679714, 0.0191742549555281, 0.02124586839818805]","[0.03243245900114346, 0.05192234268930906, 0.06675086736190049, 0.0832725659536744, 0.0998057739695971]","[0.011518679881661742, 0.015205586229999395, 0.01836374858305415, 0.020808851463207725, 0.02292302465220878]","[0.023733371997604995, 0.028393786633090595, 0.034289460250543524, 0.047321387114338705, 0.049123568908252396]"
15,"[0.011828079638205017, 0.015944777697473614, 0.02090076068206523, 0.022025281339875556, 0.02571913548547846]","[0.023660271519010012, 0.03031459527440354, 0.03424602767896457, 0.03896685255047866, 0.04397672642266836]","[0.012951318004547288, 0.016473750295830022, 0.020358529244629404, 0.025870267654955453, 0.0329835376857923]","[0.023624886433906735, 0.029222125889591822, 0.03469225126585224, 0.04357242392873274, 0.04941372835130844]","[0.0182787705654636, 0.027746998553078564, 0.02971243075085303, 0.033721232792482146, 0.04075966562786801]","[0.029535560136163985, 0.042961590079240775, 0.04583383102520298, 0.046357660523920534, 0.05498220373862926]","[0.029046205384994625, 0.027832257792624906, 0.02907943194921955, 0.030579018620021388, 0.03657100267970685]","[0.036633668181527954, 0.043016675243685465, 0.04314295004370739, 0.05072950722958774, 0.06262030545615206]","[0.01026440003858355, 0.01286019116373305, 0.01663806115327259, 0.01772801488137922, 0.02095942580829062]","[0.03154816593266863, 0.04770835746063739, 0.06365670345513312, 0.07976393366240982, 0.09504282551565331]","[0.015245032798854094, 0.018293357694547777, 0.02203310742819601, 0.025655584850078038, 0.03013614550856033]","[0.028385396467561136, 0.03212559900404351, 0.039023667762097404, 0.04944431629915595, 0.050482761012082655]"
16,"[0.011294395052105093, 0.015388212608379722, 0.020236909361832745, 0.021416329847857865, 0.025564212212607306]","[0.023822769477732795, 0.03229863166754899, 0.03417023801679565, 0.04002665884654548, 0.04351691064438433]","[0.01321427226973018, 0.01637886427683186, 0.022517421059243734, 0.025199535698139285, 0.027323033743560123]","[0.02416413212649181, 0.029992643150716734, 0.03722399317276913, 0.04027493101659971, 0.04310124939550162]","[0.018980733564458747, 0.02793353956049151, 0.029501305157355787, 0.0334255765723608, 0.040463087859536534]","[0.03178879787698885, 0.04329805219047763, 0.04532007873493026, 0.04536414194395551, 0.05393054088564888]","[0.027129115439220284, 0.02637144544005545, 0.02677052314992822, 0.028517246092872196, 0.03410516242328944]","[0.033048544893013336, 0.040188045883139005, 0.03972706967330414, 0.04770575733555164, 0.06078167403869946]","[0.011476809239117392, 0.015727163480010947, 0.016112559805456093, 0.01748871763405941, 0.020593891392007856]","[0.02920996972956409, 0.04783711970689981, 0.061008732985377505, 0.07527562028119618, 0.0908611748350266]","[0.06162492264656549, 0.0664968714692527, 0.07146491451876479, 0.07728075196070704, 0.08196098036446056]","[0.06654947130258367, 0.07171479245179681, 0.07636875036892825, 0.08217528590843781, 0.08671573426771048]"
17,"[0.010770851080033592, 0.01495220524878246, 0.01802569697887412, 0.02303515715154083, 0.024237295748502512]","[0.02709199863594681, 0.030951180514019457, 0.03812868887565504, 0.04147424260181197, 0.04471534337971494]","[0.017291214836852146, 0.016198892142912067, 0.02002558944126206, 0.022767245979378826, 0.025412810661633936]","[0.022857555643374515, 0.03792261911437581, 0.037333657459504586, 0.038941960834073065, 0.04404839638461777]","[0.018589790093218057, 0.02683936579554777, 0.02842796573727187, 0.03219361226403777, 0.03879487585758607]","[0.03367228156015191, 0.04152268614752484, 0.04378692343968554, 0.043404402600277156, 0.051663712815300265]","[0.030952785432799015, 0.028051964494561432, 0.027433581773914067, 0.02869743666293968, 0.03361104242843912]","[0.037165697026231743, 0.04165020716302768, 0.04198965907450962, 0.049441698659301134, 0.05350461156275211]","[0.010196207805246571, 0.01239584432326509, 0.014331166208722445, 0.016862748711444244, 0.019404675494868382]","[0.028982617272918478, 0.044654174393421925, 0.05948435337125906, 0.07343124252256075, 0.08776202882557449]","[0.0171768296546053, 0.02670963740267061, 0.024451308908012757, 0.027032976413644678, 0.026771604194412723]","[0.029452513686353914, 0.0451407717437217, 0.04384806699159876, 0.04620022913040159, 0.04904988803091705]"
18,"[0.011143707063445609, 0.01531036911485638, 0.018539618451104214, 0.02001397837339027, 0.023018998530792024]","[0.02673220467247515, 0.03243678365374969, 0.035674650472102706, 0.041251261201087436, 0.04537215602616033]","[0.011614775735157625, 0.015617782149269769, 0.023827779766244804, 0.022556679573003446, 0.025081082467925883]","[0.02356226236315976, 0.030947874456293687, 0.035816951462473434, 0.040054763328984305, 0.043064307874892696]","[0.018076707050294176, 0.02583679426481637, 0.02707202715574366, 0.03055324568176833, 0.036953069130477835]","[0.03203756538037645, 0.038557683128708276, 0.04213415527495255, 0.041298389308520256, 0.04929124460298427]","[0.028689200876000073, 0.02683701166924914, 0.026235936703910796, 0.027889046537510443, 0.032194890859825756]","[0.037211938963274405, 0.04011735229167079, 0.03992943053947523, 0.04257571231868376, 0.04595982405371966]","[0.009886360595228932, 0.012652880028357157, 0.014812680546869794, 0.019407201260504492, 0.0202575113227913]","[0.0297887022082304, 0.04012292122758756, 0.05490211062796826, 0.06347465276912789, 0.07910173737048797]","[0.03028292173208183, 0.01989515121613274, 0.020333397657823583, 0.02684018261004511, 0.036448923401964775]","[0.03574998338230501, 0.032183212007516324, 0.03578851772599779, 0.0499431069304125, 0.05779303246452556]"
19,"[0.00993382371174884, 0.014104369522519406, 0.017284124057942503, 0.0203042791768983, 0.021889406341341514]","[0.025985459104561622, 0.031865705321016034, 0.03568204410516314, 0.04387496141420247, 0.04445301688048196]","[0.011811312191334862, 0.0156932771845044, 0.019099689192853358, 0.02187218210877064, 0.024819321253246072]","[0.023145396086548253, 0.03487304893805582, 0.03932351110504073, 0.04013693812958083, 0.04416382908783118]","[0.018554491533655484, 0.025590568129669023, 0.02630559172128428, 0.029217289239244205, 0.03479451382736727]","[0.030557563459653717, 0.037067389132376456, 0.04099160804659774, 0.039749855485247454, 0.04752414293463521]","[0.03044549106227565, 0.026613481668309857, 0.0261941468456143, 0.027551718975888498, 0.03291083567679733]","[0.03668369467570238, 0.03858115630106315, 0.04206882266962205, 0.049405833290238274, 0.05322322987458037]","[0.01048035446881793, 0.012187465615168794, 0.014370802849827426, 0.016837380766517408, 0.01870997519855144]","[0.029127089156896394, 0.03765413537735832, 0.05100883036241088, 0.05309262877789837, 0.06741947145311064]","[0.012925153450959742, 0.016680708481141414, 0.018807895549410668, 0.020932461537095156, 0.022741116106252648]","[0.027584270499673366, 0.03429384290084967, 0.04118786704736068, 0.050437291651397834, 0.051008103040001224]"
20,"[0.009893528870328613, 0.013530314987409045, 0.016631749258500222, 0.018989005738159495, 0.02134700979554118]","[0.026507151620051992, 0.03623548628366761, 0.037594891411887675, 0.04653596632641183, 0.04558737764979705]","[0.011806064033887518, 0.01646916257354143, 0.01894472766246178, 0.02132406732740056, 0.02434912254661187]","[0.024415786047241338, 0.041215715547003755, 0.04076946611822348, 0.04263036092231315, 0.043945257247804376]","[0.01758839001030931, 0.024384298896362674, 0.02544913718945356, 0.028250253365390714, 0.03353650989426228]","[0.02874706961416427, 0.03520671630126597, 0.03946910414989229, 0.03811204061245803, 0.04575089606276052]","[0.026250097373341132, 0.024075746455022314, 0.0248914320282649, 0.027021623212337587, 0.03173451742079951]","[0.033635721985129596, 0.03759775931238863, 0.040586896525618185, 0.042010374346896924, 0.04662883281856091]","[0.009687575240113619, 0.012381627634539396, 0.015611272333018834, 0.015624375572248704, 0.018845490399410903]","[0.02974140877422107, 0.037700021178674846, 0.04887047258150013, 0.05310389512513339, 0.06766937390858972]","[0.014493201556060192, 0.016959572635234642, 0.018411719166092383, 0.020355348192482293, 0.022361730939414303]","[0.026908052447247015, 0.03412522349869859, 0.03870271624865618, 0.05305838733887093, 0.0501197214645049]"
21,"[0.00988346502531899, 0.013470882145657451, 0.01635810731876853, 0.018698456765102827, 0.021153417022560416]","[0.027108961975952542, 0.03347549479361525, 0.03740241430040346, 0.04601160953798145, 0.04484083131544693]","[0.010921516898122104, 0.015443339525908087, 0.01890887187864425, 0.020744188390752996, 0.023395932397805425]","[0.024785462202891746, 0.03374643431164083, 0.03757176417852893, 0.04513382794117469, 0.04595722133156307]","[0.017028701185841467, 0.025542300232041126, 0.025445449393689236, 0.027927460553943684, 0.03298883397700645]","[0.028441879799399702, 0.036622738940847874, 0.03890575095170588, 0.03743016168666929, 0.04542633075243567]","[0.028194083884254796, 0.025581302269429097, 0.02555216149100144, 0.02714093664439924, 0.03259679250838048]","[0.03795713083429704, 0.043848468671838996, 0.04568212503557248, 0.04245466351173741, 0.04679269388925696]","[0.009997008657648718, 0.011850163591345603, 0.013550903388940853, 0.018816124751323167, 0.023304303416714005]","[0.031733054008594795, 0.03686363901074704, 0.046223442784227305, 0.05392068412566873, 0.06895513362990477]","[0.014088348397851714, 0.016399485337731248, 0.018768925700306565, 0.020711710198434822, 0.023078385022507565]","[0.026438525158401494, 0.03426373887492259, 0.038248274783801633, 0.04577295458489, 0.04772611147177279]"
22,"[0.010297112524227893, 0.013108203558536017, 0.016175418628118728, 0.01885668385547245, 0.021253300772213934]","[0.02683836278512527, 0.03364113997451397, 0.037422706982908234, 0.04552477904123344, 0.04558260231732939]","[0.010492281341202107, 0.01403315019325473, 0.017370594114397474, 0.01981835062330297, 0.0226772413069805]","[0.026135700298910425, 0.03977170429990469, 0.040382550270320505, 0.04726817880027949, 0.047126965359906944]","[0.014436984670127056, 0.025624015345074025, 0.024515293521606998, 0.02672165553751614, 0.03134510666999818]","[0.026275652424810968, 0.036323057744885597, 0.03704741704154902, 0.03551623084431901, 0.0433792156076892]","[0.02827313586789324, 0.025869724818475694, 0.026701104413218883, 0.02770865658571544, 0.03167438801465656]","[0.0407725683534556, 0.046144855141082214, 0.04187074673398313, 0.044263204963321, 0.04903216097464142]","[0.009848844428777863, 0.011574371925480297, 0.014003998378739245, 0.015743953125939104, 0.019858701211506707]","[0.03052421223961982, 0.0413109179305476, 0.04653543332290059, 0.052559635502660546, 0.0680168492686638]","[0.015169950973121885, 0.0165255894139263, 0.018733611805120495, 0.020249329057739098, 0.021817038612742725]","[0.026176729254554047, 0.032707590718164724, 0.03858541761208576, 0.0482636042907911, 0.051975367157109716]"
23,"[0.00999626436667198, 0.013116992950459247, 0.01701539408648985, 0.018649557648013536, 0.021278255661584956]","[0.02833914269830899, 0.03402097678968286, 0.039765777703255796, 0.04569497720540232, 0.04584337116137107]","[0.010619283462422252, 0.01456523663694365, 0.01731327017872237, 0.019910093472986518, 0.02260161736097053]","[0.024998264848031904, 0.03375165501174303, 0.0388794137172489, 0.04867809229661909, 0.04704368961716536]","[0.01464250279534379, 0.025643784335266904, 0.023870581069760557, 0.026099257304219945, 0.030173493464925465]","[0.02784526754626234, 0.03714241751581148, 0.03547704179821493, 0.034300050054966884, 0.042140586063361025]","[0.026287780978428623, 0.02396987696437925, 0.024939356523532435, 0.027122870241249028, 0.03128477552415326]","[0.036839628808532796, 0.042512627568706426, 0.04072644846826346, 0.04553008060623415, 0.05056972399347092]","[0.010369773896258507, 0.011264453314811643, 0.014160758880675995, 0.015158584316687766, 0.017460471909260457]","[0.02930192478954909, 0.035330252870607017, 0.04462780253910551, 0.05843895286189799, 0.0746174066638761]","[0.014341714737748642, 0.016279124525040337, 0.018507879188803995, 0.020372963675181835, 0.021911579622680862]","[0.02833526444259663, 0.03335612534725571, 0.039064871560844705, 0.04559454205089405, 0.05380550265846281]"
24,"[0.010247633396512761, 0.012677534075963495, 0.015838355128727465, 0.017964520931980164, 0.02028684943684298]","[0.027064959068995965, 0.0346906934600631, 0.03720620258292478, 0.04479284099432935, 0.047570797605585184]","[0.01025846439771492, 0.014410742355294215, 0.01685404253504729, 0.01920785635594029, 0.021705317220984944]","[0.02706226674992559, 0.035566523133746065, 0.04140988279785009, 0.04972683460249545, 0.04801896109530594]","[0.013456533256724577, 0.024446612742220375, 0.023336858837288404, 0.025653770099558618, 0.029710029025160883]","[0.025605126827069256, 0.03384765631490783, 0.03607461918514302, 0.034388476604495406, 0.04281489402673474]","[0.031198780803602902, 0.030726140147515874, 0.03261029438470709, 0.03223134317563314, 0.03857626592007787]","[0.037119168413563296, 0.04393764293452167, 0.047352160282698466, 0.04584189045091167, 0.04920829890212741]","[0.009817828262502675, 0.012239285536552826, 0.013819691467765016, 0.015080352524522635, 0.017385998972383753]","[0.0326327111456606, 0.03691396430857047, 0.04558412076088202, 0.05457543094722156, 0.0690585416035513]","[0.013589183263505474, 0.01553727879552, 0.017268319784308674, 0.01876534115898249, 0.020548396075629378]","[0.025982807121668356, 0.03353466164156206, 0.03790790418646933, 0.04604146909442278, 0.04930384994901004]"
25,"[0.010085587043921719, 0.014440144503014566, 0.01612496310592658, 0.01832859148760257, 0.02103991283363907]","[0.028353178110662836, 0.03409101834012328, 0.03900294495175147, 0.045821523787351964, 0.04929129970957104]","[0.009902868109965057, 0.013556075494633425, 0.01657381848566058, 0.01879712013410962, 0.021506527620290167]","[0.023942037233229924, 0.03651109154184797, 0.038904432592080436, 0.048128340348361505, 0.04643123652003843]","[0.013615244059419484, 0.02194491047054296, 0.02245089263901464, 0.026005645043298598, 0.02917954433855478]","[0.02390627660251147, 0.030546670769031878, 0.033452019982304314, 0.035505733568066904, 0.04369068763700104]","[0.023031302280451874, 0.0228224080960714, 0.02488164336980899, 0.0269244570931105, 0.0314968385249354]","[0.035116328253133114, 0.04306551908724708, 0.04957620649148744, 0.05057604215303223, 0.053226414591354014]","[0.01068564958303112, 0.011390698798777058, 0.012789632233534501, 0.014941863049607877, 0.018331051080559966]","[0.03138536835150996, 0.037548154836419594, 0.04646245681645798, 0.055493043619622005, 0.06902882667437503]","[0.02510181121911485, 0.03503535359105265, 0.03814694686625428, 0.03734300832934105, 0.04313718460145944]","[0.034121387000992, 0.04503262795527471, 0.05023935996467552, 0.049978851392461325, 0.055745510245496725]"
26,"[0.010357119841336531, 0.013907805428056379, 0.01779854950713375, 0.017690633915001492, 0.020073025420417098]","[0.02856784243033619, 0.03362468085188085, 0.039384874496687164, 0.04463926064403252, 0.04849966701612661]","[0.010437031322466069, 0.013713314319798999, 0.016204237905204675, 0.018744992898402306, 0.021402329746914965]","[0.024957549825216894, 0.03548857202307745, 0.03845401546692543, 0.04946856920971494, 0.04548531557533021]","[0.013040475570731826, 0.02563615649374224, 0.022338029707289056, 0.024571587896852997, 0.02992978744913266]","[0.022623383608266982, 0.032754367719297205, 0.03297529081032446, 0.03903302131947644, 0.0467160259489256]","[0.02785048884625449, 0.027119702095909918, 0.02656596992685242, 0.026959601394676302, 0.03184147864723988]","[0.035548684602546475, 0.043579511110004875, 0.04219945392975387, 0.04646009223926088, 0.05231384886875138]","[0.010277322491083915, 0.010874746114383736, 0.012535709022701612, 0.014283876513685189, 0.016477152535329227]","[0.031238494903195215, 0.04149669025953378, 0.04709312114377819, 0.05469938803158593, 0.071637474490628]","[0.03701069589550807, 0.06658042295515633, 0.056470564378620636, 0.04872050484901324, 0.047675753883250724]","[0.04297679646871659, 0.07447793940168074, 0.07564101274895789, 0.06874404623552549, 0.06553233951802637]"
27,"[0.00904417192282661, 0.01270911902364339, 0.015661029995952726, 0.017867251938762815, 0.019577261817185394]","[0.03362359024507434, 0.03398909220220646, 0.038002965288492035, 0.04659340370606279, 0.046626321078423925]","[0.01012842004070117, 0.01311266370078624, 0.015901077254486858, 0.018556076079054896, 0.021255052280910684]","[0.02421168350502792, 0.03897630860324102, 0.04102614969912118, 0.047003040169418024, 0.045855775395553994]","[0.013368587582021694, 0.022245523812315843, 0.02232119221443195, 0.024152989355018126, 0.029370072394471026]","[0.027892854542707363, 0.02943137148189014, 0.03287415228698868, 0.034814839393826034, 0.04077399396782677]","[0.027265783563007406, 0.024927890522153776, 0.024372036528824564, 0.02702845236529679, 0.03035538205538942]","[0.03966288993045001, 0.04981743623419303, 0.04543504754053286, 0.04508409388922128, 0.05058603130154238]","[0.009421978287647329, 0.010875821527383072, 0.012608091290097415, 0.015155704549706274, 0.01744402454964049]","[0.03297440198655847, 0.03899652152826212, 0.047502606051055614, 0.052761223742665585, 0.0654668694278667]","[0.024188505802054363, 0.041031560456319574, 0.034964719870933275, 0.03384785311830565, 0.03632199185939379]","[0.03258354094942339, 0.051052345822163565, 0.044983222306083176, 0.04715783208611818, 0.04926635040751815]"
28,"[0.009272865230835552, 0.012172140101094254, 0.015057220023423235, 0.017378512796070524, 0.019369117296922204]","[0.03244129827080436, 0.035159626014071146, 0.04048910735103134, 0.048909135143855136, 0.04738024959041575]","[0.009599705022118094, 0.013072306925877623, 0.01592044791372165, 0.018206861190983054, 0.020631101854014792]","[0.02385070417320579, 0.035601640009114366, 0.03799721288146589, 0.047316593935150815, 0.04601424187364769]","[0.01260041581813919, 0.017466957223389156, 0.023107924776616474, 0.023618355899229494, 0.029059383136634163]","[0.022846925557133572, 0.027046759108919766, 0.0354192370454564, 0.03546698959384051, 0.0401815352937964]","[0.02672639470340419, 0.02841355606508906, 0.03362466430968578, 0.0297061359561733, 0.03487358285307492]","[0.03290382828384841, 0.04615832656909132, 0.0475006172676447, 0.04633742019065865, 0.05119581926615232]","[0.009219671040864737, 0.010691181405739766, 0.012867360849309279, 0.01535477806788342, 0.016682668927577433]","[0.03113720857939998, 0.042654047301070835, 0.048247649049048304, 0.05851385172256993, 0.078762966427787]","[0.027080184441752825, 0.03711756774054795, 0.023249189988535965, 0.024575245820807317, 0.02719006933993612]","[0.03579836807255637, 0.04658767615737365, 0.0417177459808332, 0.04456726094630312, 0.04366626481103479]"
29,"[0.009140150560680523, 0.011978305648494055, 0.014762061978638047, 0.01697482443297037, 0.019246680569152682]","[0.031206743226088362, 0.034597618186176085, 0.038414990612304634, 0.04915144279858028, 0.05019372825121337]","[0.01135081114540777, 0.016611785490034493, 0.01719133312734864, 0.019074969944483024, 0.021474535660372787]","[0.024437616037814712, 0.040480794197976865, 0.04128322658732567, 0.0460817028335983, 0.04705383095135315]","[0.015336260919257017, 0.01619436961687283, 0.020546735136759402, 0.023070508722048164, 0.029190780589584554]","[0.02969644949642521, 0.029613246536004192, 0.03408396977951254, 0.037547997101079124, 0.042211871085581484]","[0.026282824645318205, 0.027508939360775527, 0.02763764668324596, 0.026826119091975242, 0.031245224899513403]","[0.0350315798723197, 0.044546617545247615, 0.043928481806809645, 0.046480359785699435, 0.052422616134671945]","[0.010111038726724513, 0.011143393347098485, 0.012093396674863187, 0.013653552595795374, 0.015728037193670046]","[0.03004680271644114, 0.04048805105060458, 0.048241962856923365, 0.05667487754242605, 0.07716418469696268]","[0.029510452404591894, 0.03185434592416762, 0.026625360402858747, 0.026511163272525798, 0.031705925055824896]","[0.032234598500987, 0.04043888495694464, 0.03955605943087676, 0.042878441948441606, 0.04375940755482307]"
